Name,Name (multilang),Title (#{lang}),Email,UPN,External User ID,CV Partner User ID,CV Partner CV ID,Phone Number,Landline,Birth Year,Department,Country,Nationality,CV Partner section ID,External unique ID,Updated,Updated by owner,Month from,Year from,Month to,Year to,Customer (#{lang}),Customer (int),Customer Anonymized (#{lang}),Customer Anonymized (int),Description (#{lang}),Description (int),Long description (#{lang}),Long description (int),Industry (#{lang}),Industry (int),Project type (#{lang}),Project type (int),Percent allocated,Project extent (individual hours),Project extent (hours),Project extent total (hours),Project extent,Project extent (currency),Project extent total,Project extent total (currency),Project area,Project area (unit),Highlighted
Patricia Miller,int:Patricia Miller,int:Principal Analytics Engineer,patricia.miller@mail.test,patriciamiller,ext_f881a3bd,f881a3bd,cv_f881a3bd,624-999-8569,896.311.8367x36576,1993,Data Engineering,Ireland,Polish,cac40af3,f9fa8c91,2025-12-02,2024-12-22,4,2025,10,2025,int:Acme,Contoso,int:Confidential Client,Confidential Client,int:Delivered analytics platform.,Delivered analytics platform.,"int:Data lake, pipelines, BI.","Data lake, pipelines, BI.",int:Energy,Energy,int:Advisory,Advisory,52,143,796,1782,Hours,NOK,31292,SEK,100,sqm,False
Robert Johnson,int:Robert Johnson,int:Associate ML Engineer,robert.johnson@mail.test,robertjohnson,ext_db0dc6a6,db0dc6a6,cv_db0dc6a6,465-245-2711x11615,001-688-651-6560,1995,AI/ML,Slovenia,Danish,c07c5ab3,9fc3bbd5,2024-05-30,2025-03-17,5,2022,3,2023,int:Acme,Globex,int:Confidential Client,Confidential Client,int:Delivered analytics platform.,Delivered analytics platform.,"int:Data lake, pipelines, BI.","Data lake, pipelines, BI.",int:Finance,Energy,int:Implementation,Implementation,80,78,683,1024,Hours,NOK,75516,EUR,800,sqm,True
Robert Johnson,int:Robert Johnson,int:Associate ML Engineer,robert.johnson@mail.test,robertjohnson,ext_db0dc6a6,db0dc6a6,cv_db0dc6a6,465-245-2711x11615,001-688-651-6560,1995,AI/ML,Slovenia,Danish,4aef6036,304bb644,2025-05-13,2025-11-18,4,2014,7,2016,int:Globex,Acme,int:Confidential Client,Confidential Client,int:Delivered analytics platform.,Delivered analytics platform.,"int:Data lake, pipelines, BI.","Data lake, pipelines, BI.",int:Health,Energy,int:Implementation,Advisory,45,183,116,597,Hours,GBP,230305,SEK,200,sqm,False
Robert Johnson,int:Robert Johnson,int:Associate ML Engineer,robert.johnson@mail.test,robertjohnson,ext_db0dc6a6,db0dc6a6,cv_db0dc6a6,465-245-2711x11615,001-688-651-6560,1995,AI/ML,Slovenia,Danish,6a99ab5d,0b03bbad,2024-10-20,2025-03-21,8,2025,4,2026,int:Contoso,Contoso,int:Confidential Client,Confidential Client,int:Delivered analytics platform.,Delivered analytics platform.,"int:Data lake, pipelines, BI.","Data lake, pipelines, BI.",int:Finance,Finance,int:Advisory,Advisory,87,169,641,935,Hours,NOK,43907,GBP,1000,sqm,False
Robert Johnson,int:Robert Johnson,int:Associate ML Engineer,robert.johnson@mail.test,robertjohnson,ext_db0dc6a6,db0dc6a6,cv_db0dc6a6,465-245-2711x11615,001-688-651-6560,1995,AI/ML,Slovenia,Danish,0b485c3f,a51dc28b,2025-11-16,2026-02-11,11,2021,3,2024,int:Contoso,Globex,int:Confidential Client,Confidential Client,int:Delivered analytics platform.,Delivered analytics platform.,"int:Data lake, pipelines, BI.","Data lake, pipelines, BI.",int:Energy,Finance,int:Advisory,Advisory,19,126,682,1294,Hours,SEK,59582,GBP,700,sqm,True
Robert Johnson,int:Robert Johnson,int:Associate ML Engineer,robert.johnson@mail.test,robertjohnson,ext_db0dc6a6,db0dc6a6,cv_db0dc6a6,465-245-2711x11615,001-688-651-6560,1995,AI/ML,Slovenia,Danish,1f98c744,e684cd58,2024-09-19,2025-07-24,10,2021,12,2026,int:Acme,Globex,int:Confidential Client,Confidential Client,int:Delivered analytics platform.,Delivered analytics platform.,"int:Data lake, pipelines, BI.","Data lake, pipelines, BI.",int:Health,Energy,int:Implementation,Advisory,11,87,224,605,Hours,SEK,22807,GBP,1000,sqm,True
Robert Johnson,int:Robert Johnson,int:Associate ML Engineer,robert.johnson@mail.test,robertjohnson,ext_db0dc6a6,db0dc6a6,cv_db0dc6a6,465-245-2711x11615,001-688-651-6560,1995,AI/ML,Slovenia,Danish,37fae06c,7612db15,2024-10-10,2025-09-21,4,2013,10,2015,int:Globex,Acme,int:Confidential Client,Confidential Client,int:Delivered analytics platform.,Delivered analytics platform.,"int:Data lake, pipelines, BI.","Data lake, pipelines, BI.",int:Finance,Finance,int:Advisory,Implementation,93,178,815,1055,Hours,SEK,230220,NOK,500,sqm,True
Jeffery Wagner,int:Jeffery Wagner,int:Consultant Data Platform Engineer,jeffery.wagner@example.org,jefferywagner,ext_024251aa,024251aa,cv_024251aa,(319)683-2731x585,001-636-289-9809,2000,Data Engineering,United Kingdom,Norwegian,dd8f6bf0,856f18ce,2026-01-21,2025-08-24,12,2012,10,2014,int:Contoso,Acme,int:Confidential Client,Confidential Client,int:Delivered analytics platform.,Delivered analytics platform.,"int:Data lake, pipelines, BI.","Data lake, pipelines, BI.",int:Finance,Finance,int:Implementation,Advisory,95,108,404,427,Budget,GBP,248181,NOK,600,sqm,True
Jeffery Wagner,int:Jeffery Wagner,int:Consultant Data Platform Engineer,jeffery.wagner@example.org,jefferywagner,ext_024251aa,024251aa,cv_024251aa,(319)683-2731x585,001-636-289-9809,2000,Data Engineering,United Kingdom,Norwegian,00e8186e,88a15ed3,2025-04-24,2025-08-09,3,2012,4,2016,int:Acme,Contoso,int:Confidential Client,Confidential Client,int:Delivered analytics platform.,Delivered analytics platform.,"int:Data lake, pipelines, BI.","Data lake, pipelines, BI.",int:Health,Finance,int:Implementation,Advisory,78,43,1000,108,Budget,EUR,182721,GBP,400,sqm,True
Jeffery Wagner,int:Jeffery Wagner,int:Consultant Data Platform Engineer,jeffery.wagner@example.org,jefferywagner,ext_024251aa,024251aa,cv_024251aa,(319)683-2731x585,001-636-289-9809,2000,Data Engineering,United Kingdom,Norwegian,822469a2,5864fb6c,2025-12-22,2024-10-12,7,2019,7,2023,int:Contoso,Contoso,int:Confidential Client,Confidential Client,int:Delivered analytics platform.,Delivered analytics platform.,"int:Data lake, pipelines, BI.","Data lake, pipelines, BI.",int:Energy,Energy,int:Advisory,Implementation,100,51,425,561,Budget,SEK,136395,GBP,700,sqm,True
Jeffery Wagner,int:Jeffery Wagner,int:Consultant Data Platform Engineer,jeffery.wagner@example.org,jefferywagner,ext_024251aa,024251aa,cv_024251aa,(319)683-2731x585,001-636-289-9809,2000,Data Engineering,United Kingdom,Norwegian,664eb605,b50b0f4d,2024-11-12,2025-09-14,8,2012,8,2012,int:Globex,Acme,int:Confidential Client,Confidential Client,int:Delivered analytics platform.,Delivered analytics platform.,"int:Data lake, pipelines, BI.","Data lake, pipelines, BI.",int:Finance,Finance,int:Implementation,Implementation,98,95,953,1373,Budget,SEK,145170,EUR,400,sqm,True
Jeffery Wagner,int:Jeffery Wagner,int:Consultant Data Platform Engineer,jeffery.wagner@example.org,jefferywagner,ext_024251aa,024251aa,cv_024251aa,(319)683-2731x585,001-636-289-9809,2000,Data Engineering,United Kingdom,Norwegian,f464ac1b,451e3c5b,2025-09-27,2025-06-07,4,2019,5,2019,int:Contoso,Contoso,int:Confidential Client,Confidential Client,int:Delivered analytics platform.,Delivered analytics platform.,"int:Data lake, pipelines, BI.","Data lake, pipelines, BI.",int:Energy,Finance,int:Advisory,Implementation,38,90,167,1990,Budget,EUR,118406,GBP,200,sqm,True
Jeffery Wagner,int:Jeffery Wagner,int:Consultant Data Platform Engineer,jeffery.wagner@example.org,jefferywagner,ext_024251aa,024251aa,cv_024251aa,(319)683-2731x585,001-636-289-9809,2000,Data Engineering,United Kingdom,Norwegian,e1142926,24609a09,2024-04-29,2024-09-10,11,2024,1,2025,int:Contoso,Contoso,int:Confidential Client,Confidential Client,int:Delivered analytics platform.,Delivered analytics platform.,"int:Data lake, pipelines, BI.","Data lake, pipelines, BI.",int:Finance,Energy,int:Advisory,Advisory,14,164,933,250,Hours,NOK,100259,GBP,900,sqm,True
Anthony Gonzalez,int:Anthony Gonzalez,int:Principal Azure Engineer,anthony.gonzalez@example.org,anthonygonzalez,ext_545f01d6,545f01d6,cv_545f01d6,(844)355-0229,(401)783-6675,1970,Cloud Engineering,India,Polish,1bff92cb,5211b2bb,2025-07-11,2025-06-30,6,2023,8,2023,int:Globex,Globex,int:Confidential Client,Confidential Client,int:Delivered analytics platform.,Delivered analytics platform.,"int:Data lake, pipelines, BI.","Data lake, pipelines, BI.",int:Energy,Health,int:Advisory,Implementation,16,82,111,1303,Budget,NOK,197911,GBP,600,sqm,False
Anthony Gonzalez,int:Anthony Gonzalez,int:Principal Azure Engineer,anthony.gonzalez@example.org,anthonygonzalez,ext_545f01d6,545f01d6,cv_545f01d6,(844)355-0229,(401)783-6675,1970,Cloud Engineering,India,Polish,4a4e3447,fccdf9d4,2025-07-23,2024-07-24,5,2013,1,2017,int:Globex,Acme,int:Confidential Client,Confidential Client,int:Delivered analytics platform.,Delivered analytics platform.,"int:Data lake, pipelines, BI.","Data lake, pipelines, BI.",int:Health,Energy,int:Implementation,Implementation,75,105,940,1214,Hours,GBP,174716,NOK,800,sqm,True
Anthony Gonzalez,int:Anthony Gonzalez,int:Principal Azure Engineer,anthony.gonzalez@example.org,anthonygonzalez,ext_545f01d6,545f01d6,cv_545f01d6,(844)355-0229,(401)783-6675,1970,Cloud Engineering,India,Polish,b853e452,a70a8e7e,2024-07-20,2024-04-19,6,2014,3,2017,int:Contoso,Contoso,int:Confidential Client,Confidential Client,int:Delivered analytics platform.,Delivered analytics platform.,"int:Data lake, pipelines, BI.","Data lake, pipelines, BI.",int:Finance,Energy,int:Advisory,Implementation,17,58,719,1059,Hours,GBP,232823,NOK,900,sqm,True
Anthony Gonzalez,int:Anthony Gonzalez,int:Principal Azure Engineer,anthony.gonzalez@example.org,anthonygonzalez,ext_545f01d6,545f01d6,cv_545f01d6,(844)355-0229,(401)783-6675,1970,Cloud Engineering,India,Polish,a46ebdf8,a6f7c804,2024-11-02,2024-07-23,8,2024,1,2025,int:Globex,Acme,int:Confidential Client,Confidential Client,int:Delivered analytics platform.,Delivered analytics platform.,"int:Data lake, pipelines, BI.","Data lake, pipelines, BI.",int:Health,Health,int:Advisory,Implementation,21,61,797,1853,Budget,EUR,109240,NOK,200,sqm,False
Anthony Gonzalez,int:Anthony Gonzalez,int:Principal Azure Engineer,anthony.gonzalez@example.org,anthonygonzalez,ext_545f01d6,545f01d6,cv_545f01d6,(844)355-0229,(401)783-6675,1970,Cloud Engineering,India,Polish,2eb977c1,95e5616c,2024-09-06,2026-02-14,9,2020,6,2022,int:Contoso,Contoso,int:Confidential Client,Confidential Client,int:Delivered analytics platform.,Delivered analytics platform.,"int:Data lake, pipelines, BI.","Data lake, pipelines, BI.",int:Finance,Finance,int:Advisory,Implementation,28,14,421,562,Hours,NOK,134793,EUR,500,sqm,False
Debra Gardner,int:Debra Gardner,int:Senior AI Engineer,debra.gardner@mail.test,debragardner,ext_4ff6afec,4ff6afec,cv_4ff6afec,859-991-0229x0147,+1-976-643-8156x149,1996,AI/ML,Australia,British,2a39880b,11a3d3ee,2024-04-19,2026-02-04,8,2016,12,2018,int:Globex,Globex,int:Confidential Client,Confidential Client,int:Delivered analytics platform.,Delivered analytics platform.,"int:Data lake, pipelines, BI.","Data lake, pipelines, BI.",int:Finance,Energy,int:Implementation,Implementation,83,79,531,1894,Hours,EUR,117000,SEK,700,sqm,True
Debra Gardner,int:Debra Gardner,int:Senior AI Engineer,debra.gardner@mail.test,debragardner,ext_4ff6afec,4ff6afec,cv_4ff6afec,859-991-0229x0147,+1-976-643-8156x149,1996,AI/ML,Australia,British,30b1ce51,0d0d361d,2025-03-15,2026-04-01,12,2015,10,2017,int:Contoso,Acme,int:Confidential Client,Confidential Client,int:Delivered analytics platform.,Delivered analytics platform.,"int:Data lake, pipelines, BI.","Data lake, pipelines, BI.",int:Health,Finance,int:Implementation,Advisory,81,124,106,542,Hours,EUR,22692,GBP,100,sqm,False
Debra Gardner,int:Debra Gardner,int:Senior AI Engineer,debra.gardner@mail.test,debragardner,ext_4ff6afec,4ff6afec,cv_4ff6afec,859-991-0229x0147,+1-976-643-8156x149,1996,AI/ML,Australia,British,8c1db887,ee8766f8,2025-08-02,2025-01-14,7,2015,7,2015,int:Acme,Acme,int:Confidential Client,Confidential Client,int:Delivered analytics platform.,Delivered analytics platform.,"int:Data lake, pipelines, BI.","Data lake, pipelines, BI.",int:Energy,Health,int:Implementation,Implementation,85,21,706,342,Budget,NOK,221155,SEK,100,sqm,True
Debra Gardner,int:Debra Gardner,int:Senior AI Engineer,debra.gardner@mail.test,debragardner,ext_4ff6afec,4ff6afec,cv_4ff6afec,859-991-0229x0147,+1-976-643-8156x149,1996,AI/ML,Australia,British,6e1a6000,e5aafd44,2025-07-09,2025-04-21,1,2017,10,2018,int:Acme,Contoso,int:Confidential Client,Confidential Client,int:Delivered analytics platform.,Delivered analytics platform.,"int:Data lake, pipelines, BI.","Data lake, pipelines, BI.",int:Finance,Health,int:Implementation,Implementation,16,169,833,1192,Hours,NOK,44877,EUR,600,sqm,False
Debra Gardner,int:Debra Gardner,int:Senior AI Engineer,debra.gardner@mail.test,debragardner,ext_4ff6afec,4ff6afec,cv_4ff6afec,859-991-0229x0147,+1-976-643-8156x149,1996,AI/ML,Australia,British,3ccfff73,ac3512d3,2025-06-28,2024-06-27,6,2016,5,2021,int:Globex,Acme,int:Confidential Client,Confidential Client,int:Delivered analytics platform.,Delivered analytics platform.,"int:Data lake, pipelines, BI.","Data lake, pipelines, BI.",int:Health,Energy,int:Implementation,Implementation,81,14,745,1249,Budget,EUR,101189,GBP,900,sqm,True
Jeffrey Lawrence,int:Jeffrey Lawrence,int:Associate Backend Engineer,jeffrey.lawrence@example.org,jeffreylawrence,ext_e1de4a05,e1de4a05,cv_e1de4a05,4366900343,751-307-6226x8388,2001,Software Engineering,United Kingdom,Danish,f7f142b5,95b0704b,2025-02-12,2025-10-25,6,2025,7,2026,int:Acme,Acme,int:Confidential Client,Confidential Client,int:Delivered analytics platform.,Delivered analytics platform.,"int:Data lake, pipelines, BI.","Data lake, pipelines, BI.",int:Finance,Health,int:Advisory,Implementation,40,114,205,1760,Hours,SEK,91158,EUR,100,sqm,False
Jeffrey Lawrence,int:Jeffrey Lawrence,int:Associate Backend Engineer,jeffrey.lawrence@example.org,jeffreylawrence,ext_e1de4a05,e1de4a05,cv_e1de4a05,4366900343,751-307-6226x8388,2001,Software Engineering,United Kingdom,Danish,a529f263,4b6195a7,2025-10-28,2025-01-27,8,2012,11,2014,int:Contoso,Acme,int:Confidential Client,Confidential Client,int:Delivered analytics platform.,Delivered analytics platform.,"int:Data lake, pipelines, BI.","Data lake, pipelines, BI.",int:Energy,Finance,int:Implementation,Implementation,97,11,169,1003,Budget,NOK,120928,EUR,200,sqm,False
Lisa Smith,int:Lisa Smith,int:Associate Data Scientist,lisa.smith@example.org,lisasmith,ext_9bfe45cd,9bfe45cd,cv_9bfe45cd,(306)807-1596x9664,5528975161,1993,AI/ML,Ireland,British,b10b4fe0,68842759,2024-08-26,2026-01-30,9,2012,8,2014,int:Contoso,Acme,int:Confidential Client,Confidential Client,int:Delivered analytics platform.,Delivered analytics platform.,"int:Data lake, pipelines, BI.","Data lake, pipelines, BI.",int:Finance,Health,int:Advisory,Advisory,82,77,157,1553,Hours,GBP,201869,GBP,400,sqm,True
Lisa Smith,int:Lisa Smith,int:Associate Data Scientist,lisa.smith@example.org,lisasmith,ext_9bfe45cd,9bfe45cd,cv_9bfe45cd,(306)807-1596x9664,5528975161,1993,AI/ML,Ireland,British,2e78937c,a453ef19,2024-08-14,2026-02-07,12,2022,8,2024,int:Contoso,Acme,int:Confidential Client,Confidential Client,int:Delivered analytics platform.,Delivered analytics platform.,"int:Data lake, pipelines, BI.","Data lake, pipelines, BI.",int:Health,Health,int:Advisory,Advisory,52,109,226,1234,Budget,SEK,240976,GBP,1000,sqm,False
Lisa Smith,int:Lisa Smith,int:Associate Data Scientist,lisa.smith@example.org,lisasmith,ext_9bfe45cd,9bfe45cd,cv_9bfe45cd,(306)807-1596x9664,5528975161,1993,AI/ML,Ireland,British,1d53b947,85df07bd,2024-12-18,2025-02-22,11,2016,9,2021,int:Globex,Contoso,int:Confidential Client,Confidential Client,int:Delivered analytics platform.,Delivered analytics platform.,"int:Data lake, pipelines, BI.","Data lake, pipelines, BI.",int:Finance,Energy,int:Implementation,Implementation,10,174,202,1254,Budget,SEK,16693,GBP,700,sqm,False
Linda Wolfe,int:Linda Wolfe,int:Consultant Data Engineer,linda.wolfe@example.com,lindawolfe,ext_c8b7436b,c8b7436b,cv_c8b7436b,001-468-316-4535,418.383.5523x12432,1970,Data Engineering,Spain,Swedish,9ba72b00,171eec33,2024-04-10,2024-07-24,3,2015,12,2016,int:Globex,Acme,int:Confidential Client,Confidential Client,int:Delivered analytics platform.,Delivered analytics platform.,"int:Data lake, pipelines, BI.","Data lake, pipelines, BI.",int:Energy,Finance,int:Implementation,Advisory,40,51,935,908,Hours,EUR,171824,SEK,500,sqm,True
Matthew Moore,int:Matthew Moore,int:Principal ML Engineer,matthew.moore@example.org,matthewmoore,ext_018fb683,018fb683,cv_018fb683,(777)499-7995,917.974.4905x814,1975,AI/ML,India,Swedish,18cad648,d8d56a2b,2025-10-22,2025-08-17,10,2019,12,2020,int:Globex,Globex,int:Confidential Client,Confidential Client,int:Delivered analytics platform.,Delivered analytics platform.,"int:Data lake, pipelines, BI.","Data lake, pipelines, BI.",int:Finance,Finance,int:Implementation,Implementation,18,118,731,486,Budget,SEK,145335,GBP,500,sqm,True
Matthew Moore,int:Matthew Moore,int:Principal ML Engineer,matthew.moore@example.org,matthewmoore,ext_018fb683,018fb683,cv_018fb683,(777)499-7995,917.974.4905x814,1975,AI/ML,India,Swedish,199442e8,3902c6e5,2026-01-21,2024-07-23,8,2015,11,2017,int:Globex,Globex,int:Confidential Client,Confidential Client,int:Delivered analytics platform.,Delivered analytics platform.,"int:Data lake, pipelines, BI.","Data lake, pipelines, BI.",int:Energy,Energy,int:Advisory,Implementation,59,24,553,762,Hours,NOK,62884,SEK,200,sqm,True
