Name,Name (multilang),Title (#{lang}),Email,UPN,External User ID,CV Partner User ID,CV Partner CV ID,Phone Number,Landline,Birth Year,Department,Country,Nationality,CV Partner section ID,External unique ID,Updated,Updated by owner,Month from,Year from,Month to,Year to,Highlighted,Employer,Description,Long Description
Robert Johnson,int:Robert Johnson,int:Associate ML Engineer,robert.johnson@mail.test,robertjohnson,ext_db0dc6a6,db0dc6a6,cv_db0dc6a6,465-245-2711x11615,001-688-651-6560,1995,AI/ML,Slovenia,Danish,55970e37,7753abf1,2026-01-10,2023-04-13,5,2018,8,2022,False,Acme Bank,"Worked on data platforms, software delivery and BI.",Led a small team delivering cloud migration.
Robert Johnson,int:Robert Johnson,int:Associate ML Engineer,robert.johnson@mail.test,robertjohnson,ext_db0dc6a6,db0dc6a6,cv_db0dc6a6,465-245-2711x11615,001-688-651-6560,1995,AI/ML,Slovenia,Danish,98b99315,94c3ba8d,2025-02-02,2023-09-12,8,2018,8,2023,False,HealthCorp,"Worked on data platforms, software delivery and BI.",Led a small team delivering cloud migration.
Anthony Gonzalez,int:Anthony Gonzalez,int:Principal Azure Engineer,anthony.gonzalez@example.org,anthonygonzalez,ext_545f01d6,545f01d6,cv_545f01d6,(844)355-0229,(401)783-6675,1970,Cloud Engineering,India,Polish,c4876d37,da3faf88,2026-03-27,2025-08-02,3,2010,2,2015,False,ConsultCo,"Worked on data platforms, software delivery and BI.",
Debra Gardner,int:Debra Gardner,int:Senior AI Engineer,debra.gardner@mail.test,debragardner,ext_4ff6afec,4ff6afec,cv_4ff6afec,859-991-0229x0147,+1-976-643-8156x149,1996,AI/ML,Australia,British,66fe7a3e,52deb0b5,2023-10-09,2024-10-10,8,2021,6,2025,True,Energia,"Worked on data platforms, software delivery and BI.",Led a small team delivering cloud migration.
Debra Gardner,int:Debra Gardner,int:Senior AI Engineer,debra.gardner@mail.test,debragardner,ext_4ff6afec,4ff6afec,cv_4ff6afec,859-991-0229x0147,+1-976-643-8156x149,1996,AI/ML,Australia,British,c899026c,d0c2bd4b,2024-10-22,2025-09-16,9,2010,5,2015,False,ConsultCo,"Worked on data platforms, software delivery and BI.",Led a small team delivering cloud migration.
Debra Gardner,int:Debra Gardner,int:Senior AI Engineer,debra.gardner@mail.test,debragardner,ext_4ff6afec,4ff6afec,cv_4ff6afec,859-991-0229x0147,+1-976-643-8156x149,1996,AI/ML,Australia,British,c7108aad,3594d903,2024-10-17,2024-02-13,6,2016,8,2018,False,RetailCo,"Worked on data platforms, software delivery and BI.",Led a small team delivering cloud migration.
Jeffrey Lawrence,int:Jeffrey Lawrence,int:Associate Backend Engineer,jeffrey.lawrence@example.org,jeffreylawrence,ext_e1de4a05,e1de4a05,cv_e1de4a05,4366900343,751-307-6226x8388,2001,Software Engineering,United Kingdom,Danish,cfdee6f2,940e5eb8,2023-05-25,2023-07-31,6,2011,5,2013,True,ConsultCo,"Worked on data platforms, software delivery and BI.",Led a small team delivering cloud migration.
Jeffrey Lawrence,int:Jeffrey Lawrence,int:Associate Backend Engineer,jeffrey.lawrence@example.org,jeffreylawrence,ext_e1de4a05,e1de4a05,cv_e1de4a05,4366900343,751-307-6226x8388,2001,Software Engineering,United Kingdom,Danish,59f049df,7e9ba01a,2023-07-20,2024-12-26,11,2012,7,2014,False,HealthCorp,"Worked on data platforms, software delivery and BI.",Led a small team delivering cloud migration.
Jeffrey Lawrence,int:Jeffrey Lawrence,int:Associate Backend Engineer,jeffrey.lawrence@example.org,jeffreylawrence,ext_e1de4a05,e1de4a05,cv_e1de4a05,4366900343,751-307-6226x8388,2001,Software Engineering,United Kingdom,Danish,96bb869f,a16fdba6,2024-09-22,2023-06-23,10,2016,9,2019,False,Acme Bank,"Worked on data platforms, software delivery and BI.",Led a small team delivering cloud migration.
Jeffrey Lawrence,int:Jeffrey Lawrence,int:Associate Backend Engineer,jeffrey.lawrence@example.org,jeffreylawrence,ext_e1de4a05,e1de4a05,cv_e1de4a05,4366900343,751-307-6226x8388,2001,Software Engineering,United Kingdom,Danish,e11e713f,10484641,2025-08-21,2023-10-27,7,2012,3,2014,False,RetailCo,"Worked on data platforms, software delivery and BI.",
Lisa Smith,int:Lisa Smith,int:Associate Data Scientist,lisa.smith@example.org,lisasmith,ext_9bfe45cd,9bfe45cd,cv_9bfe45cd,(306)807-1596x9664,5528975161,1993,AI/ML,Ireland,British,56a68dbc,81272157,2024-12-21,2025-03-27,2,2018,2,2019,False,Energia,"Worked on data platforms, software delivery and BI.",Led a small team delivering cloud migration.
Lisa Smith,int:Lisa Smith,int:Associate Data Scientist,lisa.smith@example.org,lisasmith,ext_9bfe45cd,9bfe45cd,cv_9bfe45cd,(306)807-1596x9664,5528975161,1993,AI/ML,Ireland,British,fa5978e7,3a51502b,2024-05-19,2024-04-30,12,2024,8,2024,True,Energia,"Worked on data platforms, software delivery and BI.",Led a small team delivering cloud migration.
Lisa Smith,int:Lisa Smith,int:Associate Data Scientist,lisa.smith@example.org,lisasmith,ext_9bfe45cd,9bfe45cd,cv_9bfe45cd,(306)807-1596x9664,5528975161,1993,AI/ML,Ireland,British,e184a502,3017147c,2023-10-10,2023-10-27,7,2012,12,2015,False,Acme Bank,"Worked on data platforms, software delivery and BI.",Led a small team delivering cloud migration.
Lisa Smith,int:Lisa Smith,int:Associate Data Scientist,lisa.smith@example.org,lisasmith,ext_9bfe45cd,9bfe45cd,cv_9bfe45cd,(306)807-1596x9664,5528975161,1993,AI/ML,Ireland,British,0dda5c7c,a6e279b8,2023-11-10,2025-01-16,8,2017,1,2017,False,RetailCo,"Worked on data platforms, software delivery and BI.",Led a small team delivering cloud migration.
Lisa Smith,int:Lisa Smith,int:Associate Data Scientist,lisa.smith@example.org,lisasmith,ext_9bfe45cd,9bfe45cd,cv_9bfe45cd,(306)807-1596x9664,5528975161,1993,AI/ML,Ireland,British,3642e37d,69ca59cc,2024-11-24,2024-01-22,3,2017,11,2021,False,RetailCo,"Worked on data platforms, software delivery and BI.",Led a small team delivering cloud migration.
Linda Wolfe,int:Linda Wolfe,int:Consultant Data Engineer,linda.wolfe@example.com,lindawolfe,ext_c8b7436b,c8b7436b,cv_c8b7436b,001-468-316-4535,418.383.5523x12432,1970,Data Engineering,Spain,Swedish,916cdd0f,4ac20311,2024-03-10,2026-01-03,1,2020,10,2022,True,RetailCo,"Worked on data platforms, software delivery and BI.",Led a small team delivering cloud migration.
Matthew Moore,int:Matthew Moore,int:Principal ML Engineer,matthew.moore@example.org,matthewmoore,ext_018fb683,018fb683,cv_018fb683,(777)499-7995,917.974.4905x814,1975,AI/ML,India,Swedish,05b4cf96,bfb5b886,2025-01-10,2023-04-07,8,2011,3,2015,False,ConsultCo,"Worked on data platforms, software delivery and BI.",Led a small team delivering cloud migration.
Matthew Moore,int:Matthew Moore,int:Principal ML Engineer,matthew.moore@example.org,matthewmoore,ext_018fb683,018fb683,cv_018fb683,(777)499-7995,917.974.4905x814,1975,AI/ML,India,Swedish,e5084fb0,539a705f,2024-04-27,2025-04-22,7,2020,2,2024,True,RetailCo,"Worked on data platforms, software delivery and BI.",Led a small team delivering cloud migration.
Matthew Moore,int:Matthew Moore,int:Principal ML Engineer,matthew.moore@example.org,matthewmoore,ext_018fb683,018fb683,cv_018fb683,(777)499-7995,917.974.4905x814,1975,AI/ML,India,Swedish,ee95d164,f2695206,2025-05-11,2025-08-05,3,2021,4,2023,True,ConsultCo,"Worked on data platforms, software delivery and BI.",Led a small team delivering cloud migration.
Matthew Moore,int:Matthew Moore,int:Principal ML Engineer,matthew.moore@example.org,matthewmoore,ext_018fb683,018fb683,cv_018fb683,(777)499-7995,917.974.4905x814,1975,AI/ML,India,Swedish,8b4d43c7,d38756fd,2026-02-03,2023-10-28,7,2021,7,2021,False,ConsultCo,"Worked on data platforms, software delivery and BI.",Led a small team delivering cloud migration.
Matthew Moore,int:Matthew Moore,int:Principal ML Engineer,matthew.moore@example.org,matthewmoore,ext_018fb683,018fb683,cv_018fb683,(777)499-7995,917.974.4905x814,1975,AI/ML,India,Swedish,fef1aeab,a2d6c8a9,2025-01-13,2025-05-29,10,2024,11,2024,True,Energia,"Worked on data platforms, software delivery and BI.",Led a small team delivering cloud migration.
Susan Rogers,int:Susan Rogers,int:Consultant C# Developer,susan.rogers@example.org,susanrogers,ext_2a2c1ef7,2a2c1ef7,cv_2a2c1ef7,8059411998,001-480-279-3597,1977,Software Engineering,Australia,Danish,11948576,2b95d53c,2026-03-08,2023-05-24,3,2017,8,2022,True,HealthCorp,"Worked on data platforms, software delivery and BI.",Led a small team delivering cloud migration.
Susan Rogers,int:Susan Rogers,int:Consultant C# Developer,susan.rogers@example.org,susanrogers,ext_2a2c1ef7,2a2c1ef7,cv_2a2c1ef7,8059411998,001-480-279-3597,1977,Software Engineering,Australia,Danish,61ee74d3,a70930aa,2024-09-03,2025-03-25,9,2017,1,2017,False,Acme Bank,"Worked on data platforms, software delivery and BI.",Led a small team delivering cloud migration.
Susan Rogers,int:Susan Rogers,int:Consultant C# Developer,susan.rogers@example.org,susanrogers,ext_2a2c1ef7,2a2c1ef7,cv_2a2c1ef7,8059411998,001-480-279-3597,1977,Software Engineering,Australia,Danish,f0cc6db1,b1737d9e,2024-11-08,2024-08-17,5,2023,10,2023,True,Energia,"Worked on data platforms, software delivery and BI.",Led a small team delivering cloud migration.
Susan Rogers,int:Susan Rogers,int:Consultant C# Developer,susan.rogers@example.org,susanrogers,ext_2a2c1ef7,2a2c1ef7,cv_2a2c1ef7,8059411998,001-480-279-3597,1977,Software Engineering,Australia,Danish,b8b84e47,a7030e4c,2024-02-07,2023-06-14,6,2013,12,2013,True,Acme Bank,"Worked on data platforms, software delivery and BI.",Led a small team delivering cloud migration.
Susan Rogers,int:Susan Rogers,int:Consultant C# Developer,susan.rogers@example.org,susanrogers,ext_2a2c1ef7,2a2c1ef7,cv_2a2c1ef7,8059411998,001-480-279-3597,1977,Software Engineering,Australia,Danish,47d5ecd2,7d5fa98c,2025-11-20,2026-01-16,3,2011,4,2011,True,ConsultCo,"Worked on data platforms, software delivery and BI.",Led a small team delivering cloud migration.
Susan Rogers,int:Susan Rogers,int:Consultant C# Developer,susan.rogers@example.org,susanrogers,ext_2a2c1ef7,2a2c1ef7,cv_2a2c1ef7,8059411998,001-480-279-3597,1977,Software Engineering,Australia,Danish,dc0dd04b,f272cd65,2025-11-17,2025-02-25,7,2018,10,2023,False,HealthCorp,"Worked on data platforms, software delivery and BI.",Led a small team delivering cloud migration.
Christopher Davis,int:Christopher Davis,int:Principal Solution Architect,christopher.davis@example.com,christopherdavis,ext_7540b8df,7540b8df,cv_7540b8df,415.718.2037x788,(846)665-9051x518,1998,Architecture,Ireland,Swedish,0ef6fdd6,d20f252f,2024-07-19,2025-12-28,12,2022,7,2023,True,Energia,"Worked on data platforms, software delivery and BI.",
Melanie Munoz,int:Melanie Munoz,int:Senior Cloud Architect,melanie.munoz@example.org,melaniemunoz,ext_c3d8ab92,c3d8ab92,cv_c3d8ab92,392-651-9254x629,+1-265-728-1685,1970,Architecture,Spain,Danish,654bfe24,9c119589,2026-01-03,2025-12-27,10,2015,2,2018,True,RetailCo,"Worked on data platforms, software delivery and BI.",Led a small team delivering cloud migration.
Lindsay Blair,int:Lindsay Blair,int:Consultant Data Architect,lindsay.blair@example.com,lindsayblair,ext_1587bf20,1587bf20,cv_1587bf20,223-757-3322x1418,001-592-996-2229x27065,1980,Architecture,Australia,Norwegian,6225837b,4d239be6,2023-06-28,2024-06-05,3,2022,7,2022,True,RetailCo,"Worked on data platforms, software delivery and BI.",Led a small team delivering cloud migration.
Amanda Dudley,int:Amanda Dudley,int:Senior Project Manager,amanda.dudley@mail.test,amandadudley,ext_c6867edd,c6867edd,cv_c6867edd,+1-947-638-3473x597,001-368-386-2392x40758,1975,Delivery Management,United Kingdom,Polish,4cf8151f,9e0741af,2023-05-29,2024-03-17,9,2020,5,2023,False,Acme Bank,"Worked on data platforms, software delivery and BI.",Led a small team delivering cloud migration.
Amanda Dudley,int:Amanda Dudley,int:Senior Project Manager,amanda.dudley@mail.test,amandadudley,ext_c6867edd,c6867edd,cv_c6867edd,+1-947-638-3473x597,001-368-386-2392x40758,1975,Delivery Management,United Kingdom,Polish,3d2e817c,61c176ba,2025-10-03,2023-08-13,5,2018,10,2021,False,Acme Bank,"Worked on data platforms, software delivery and BI.",Led a small team delivering cloud migration.
Amanda Dudley,int:Amanda Dudley,int:Senior Project Manager,amanda.dudley@mail.test,amandadudley,ext_c6867edd,c6867edd,cv_c6867edd,+1-947-638-3473x597,001-368-386-2392x40758,1975,Delivery Management,United Kingdom,Polish,ca12249f,463fc349,2025-04-14,2026-02-11,6,2013,5,2015,True,Acme Bank,"Worked on data platforms, software delivery and BI.",Led a small team delivering cloud migration.
Amanda Dudley,int:Amanda Dudley,int:Senior Project Manager,amanda.dudley@mail.test,amandadudley,ext_c6867edd,c6867edd,cv_c6867edd,+1-947-638-3473x597,001-368-386-2392x40758,1975,Delivery Management,United Kingdom,Polish,0f3deb42,491e4961,2025-07-20,2025-09-29,9,2020,10,2021,False,RetailCo,"Worked on data platforms, software delivery and BI.",Led a small team delivering cloud migration.
Maria Montgomery,int:Maria Montgomery,int:Consultant Frontend Engineer,maria.montgomery@example.org,mariamontgomery,ext_80934911,80934911,cv_80934911,872-377-9010x4328,001-243-541-0369x71179,1996,Software Engineering,Australia,British,a9626d47,ada5ae57,2025-08-08,2025-01-14,9,2011,4,2015,False,Energia,"Worked on data platforms, software delivery and BI.",Led a small team delivering cloud migration.
Maria Montgomery,int:Maria Montgomery,int:Consultant Frontend Engineer,maria.montgomery@example.org,mariamontgomery,ext_80934911,80934911,cv_80934911,872-377-9010x4328,001-243-541-0369x71179,1996,Software Engineering,Australia,British,0d21899f,e4f52a62,2025-01-23,2026-01-20,2,2023,6,2023,False,Acme Bank,"Worked on data platforms, software delivery and BI.",
Maria Montgomery,int:Maria Montgomery,int:Consultant Frontend Engineer,maria.montgomery@example.org,mariamontgomery,ext_80934911,80934911,cv_80934911,872-377-9010x4328,001-243-541-0369x71179,1996,Software Engineering,Australia,British,e11a3a01,e9219f8f,2025-05-13,2024-11-19,12,2014,4,2019,True,Energia,"Worked on data platforms, software delivery and BI.",
Maria Montgomery,int:Maria Montgomery,int:Consultant Frontend Engineer,maria.montgomery@example.org,mariamontgomery,ext_80934911,80934911,cv_80934911,872-377-9010x4328,001-243-541-0369x71179,1996,Software Engineering,Australia,British,5526b951,c98ce5da,2024-04-14,2024-08-17,8,2014,4,2018,False,RetailCo,"Worked on data platforms, software delivery and BI.",Led a small team delivering cloud migration.
Michelle Ray,int:Michelle Ray,int:Associate .NET Engineer,michelle.ray@example.org,michelleray,ext_b902153f,b902153f,cv_b902153f,001-724-360-9539x621,388.788.0670x65405,1977,Software Engineering,Ireland,British,9d845dd7,987f4174,2025-07-30,2024-06-27,5,2017,1,2022,True,RetailCo,"Worked on data platforms, software delivery and BI.",Led a small team delivering cloud migration.
Michelle Ray,int:Michelle Ray,int:Associate .NET Engineer,michelle.ray@example.org,michelleray,ext_b902153f,b902153f,cv_b902153f,001-724-360-9539x621,388.788.0670x65405,1977,Software Engineering,Ireland,British,39a72b97,06d7229e,2024-01-09,2025-06-01,4,2014,6,2019,True,HealthCorp,"Worked on data platforms, software delivery and BI.",Led a small team delivering cloud migration.
Michelle Ray,int:Michelle Ray,int:Associate .NET Engineer,michelle.ray@example.org,michelleray,ext_b902153f,b902153f,cv_b902153f,001-724-360-9539x621,388.788.0670x65405,1977,Software Engineering,Ireland,British,e277d386,9895113d,2024-11-27,2024-05-03,1,2015,9,2017,False,Energia,"Worked on data platforms, software delivery and BI.",
Michelle Ray,int:Michelle Ray,int:Associate .NET Engineer,michelle.ray@example.org,michelleray,ext_b902153f,b902153f,cv_b902153f,001-724-360-9539x621,388.788.0670x65405,1977,Software Engineering,Ireland,British,2aed5e6a,aeee33a0,2024-04-19,2025-09-07,11,2011,11,2013,False,HealthCorp,"Worked on data platforms, software delivery and BI.",Led a small team delivering cloud migration.
Janet Williams,int:Janet Williams,int:Senior Frontend Engineer,janet.williams@example.com,janetwilliams,ext_0fa87483,0fa87483,cv_0fa87483,419.952.0585,001-772-621-7043x030,1991,Software Engineering,United Kingdom,Swedish,363130bb,82cd8618,2024-10-06,2023-11-03,7,2020,8,2023,False,RetailCo,"Worked on data platforms, software delivery and BI.",Led a small team delivering cloud migration.
Janet Williams,int:Janet Williams,int:Senior Frontend Engineer,janet.williams@example.com,janetwilliams,ext_0fa87483,0fa87483,cv_0fa87483,419.952.0585,001-772-621-7043x030,1991,Software Engineering,United Kingdom,Swedish,55bdb644,28eb9761,2025-07-09,2024-02-29,1,2019,7,2023,True,HealthCorp,"Worked on data platforms, software delivery and BI.",Led a small team delivering cloud migration.
Janet Williams,int:Janet Williams,int:Senior Frontend Engineer,janet.williams@example.com,janetwilliams,ext_0fa87483,0fa87483,cv_0fa87483,419.952.0585,001-772-621-7043x030,1991,Software Engineering,United Kingdom,Swedish,b3a6903e,67842ab1,2025-10-31,2023-05-27,1,2013,10,2018,False,ConsultCo,"Worked on data platforms, software delivery and BI.",Led a small team delivering cloud migration.
Janet Williams,int:Janet Williams,int:Senior Frontend Engineer,janet.williams@example.com,janetwilliams,ext_0fa87483,0fa87483,cv_0fa87483,419.952.0585,001-772-621-7043x030,1991,Software Engineering,United Kingdom,Swedish,b907c2dc,f763dc41,2026-02-16,2023-06-29,2,2014,2,2015,True,Energia,"Worked on data platforms, software delivery and BI.",Led a small team delivering cloud migration.
Jeremy Roberts,int:Jeremy Roberts,int:Principal Databricks Engineer,jeremy.roberts@mail.test,jeremyroberts,ext_cbf996ce,cbf996ce,cv_cbf996ce,868.874.0345x05415,001-876-452-7758x4161,1975,Data Engineering,United Kingdom,Swedish,60c91235,9abc2c6d,2024-06-22,2024-01-29,2,2013,12,2016,True,Energia,"Worked on data platforms, software delivery and BI.",Led a small team delivering cloud migration.
Jeremy Roberts,int:Jeremy Roberts,int:Principal Databricks Engineer,jeremy.roberts@mail.test,jeremyroberts,ext_cbf996ce,cbf996ce,cv_cbf996ce,868.874.0345x05415,001-876-452-7758x4161,1975,Data Engineering,United Kingdom,Swedish,f13a89ae,4f4495e8,2024-06-26,2026-02-26,11,2014,5,2016,True,HealthCorp,"Worked on data platforms, software delivery and BI.",Led a small team delivering cloud migration.
Jeremy Roberts,int:Jeremy Roberts,int:Principal Databricks Engineer,jeremy.roberts@mail.test,jeremyroberts,ext_cbf996ce,cbf996ce,cv_cbf996ce,868.874.0345x05415,001-876-452-7758x4161,1975,Data Engineering,United Kingdom,Swedish,3bd188aa,9148432f,2023-10-25,2024-10-20,9,2014,2,2019,False,Acme Bank,"Worked on data platforms, software delivery and BI.",Led a small team delivering cloud migration.
Jeremy Roberts,int:Jeremy Roberts,int:Principal Databricks Engineer,jeremy.roberts@mail.test,jeremyroberts,ext_cbf996ce,cbf996ce,cv_cbf996ce,868.874.0345x05415,001-876-452-7758x4161,1975,Data Engineering,United Kingdom,Swedish,999fad6d,eb320765,2024-10-14,2025-11-24,2,2012,1,2014,True,Energia,"Worked on data platforms, software delivery and BI.",Led a small team delivering cloud migration.
Christopher Hall,int:Christopher Hall,int:Senior Analytics Engineer,christopher.hall@example.com,christopherhall,ext_aa4a92e3,aa4a92e3,cv_aa4a92e3,+1-845-411-5447,001-775-470-5964x016,1973,Data Engineering,Australia,Swedish,3c79c6b4,67611ca9,2026-04-01,2025-05-02,5,2014,5,2014,True,Acme Bank,"Worked on data platforms, software delivery and BI.",Led a small team delivering cloud migration.
Christopher Hall,int:Christopher Hall,int:Senior Analytics Engineer,christopher.hall@example.com,christopherhall,ext_aa4a92e3,aa4a92e3,cv_aa4a92e3,+1-845-411-5447,001-775-470-5964x016,1973,Data Engineering,Australia,Swedish,0b7d1d3a,80aa39d7,2025-08-04,2025-07-31,9,2020,2,2020,True,Acme Bank,"Worked on data platforms, software delivery and BI.",Led a small team delivering cloud migration.
Christopher Hall,int:Christopher Hall,int:Senior Analytics Engineer,christopher.hall@example.com,christopherhall,ext_aa4a92e3,aa4a92e3,cv_aa4a92e3,+1-845-411-5447,001-775-470-5964x016,1973,Data Engineering,Australia,Swedish,ac39ec0a,1ece4ebc,2025-08-13,2023-10-30,1,2010,10,2010,False,RetailCo,"Worked on data platforms, software delivery and BI.",Led a small team delivering cloud migration.
Craig Ramirez,int:Craig Ramirez,int:Senior Data Platform Engineer,craig.ramirez@mail.test,craigramirez,ext_542f72ed,542f72ed,cv_542f72ed,7298702135,001-409-727-5571,1975,Data Engineering,Spain,Swedish,672d9e6c,6594c53a,2025-02-20,2024-07-15,12,2014,9,2017,False,RetailCo,"Worked on data platforms, software delivery and BI.",Led a small team delivering cloud migration.
Craig Ramirez,int:Craig Ramirez,int:Senior Data Platform Engineer,craig.ramirez@mail.test,craigramirez,ext_542f72ed,542f72ed,cv_542f72ed,7298702135,001-409-727-5571,1975,Data Engineering,Spain,Swedish,39d901d8,98fc25a2,2025-03-29,2023-07-26,8,2021,2,2025,False,RetailCo,"Worked on data platforms, software delivery and BI.",Led a small team delivering cloud migration.
Cynthia Diaz,int:Cynthia Diaz,int:Lead Enterprise Architect,cynthia.diaz@mail.test,cynthiadiaz,ext_6597a97f,6597a97f,cv_6597a97f,(654)931-0278x6814,494.973.1217,1998,Architecture,United Kingdom,British,7c5de8ac,ff49f9b5,2023-11-14,2023-09-26,1,2011,11,2016,False,Energia,"Worked on data platforms, software delivery and BI.",Led a small team delivering cloud migration.
Cynthia Diaz,int:Cynthia Diaz,int:Lead Enterprise Architect,cynthia.diaz@mail.test,cynthiadiaz,ext_6597a97f,6597a97f,cv_6597a97f,(654)931-0278x6814,494.973.1217,1998,Architecture,United Kingdom,British,bb0a3102,193a7341,2024-01-28,2023-04-22,7,2018,2,2019,False,RetailCo,"Worked on data platforms, software delivery and BI.",Led a small team delivering cloud migration.
Cynthia Diaz,int:Cynthia Diaz,int:Lead Enterprise Architect,cynthia.diaz@mail.test,cynthiadiaz,ext_6597a97f,6597a97f,cv_6597a97f,(654)931-0278x6814,494.973.1217,1998,Architecture,United Kingdom,British,4be81d62,bb1eb734,2023-12-18,2025-02-04,8,2012,11,2012,False,RetailCo,"Worked on data platforms, software delivery and BI.",Led a small team delivering cloud migration.
Mitchell Clark,int:Mitchell Clark,int:Senior Data Architect,mitchell.clark@example.org,mitchellclark,ext_fcc9a653,fcc9a653,cv_fcc9a653,455-718-8442,431.332.3705x89578,1995,Architecture,Ireland,Danish,ccebb54d,e74f609a,2023-08-05,2025-04-05,12,2021,1,2022,True,RetailCo,"Worked on data platforms, software delivery and BI.",Led a small team delivering cloud migration.
Mitchell Clark,int:Mitchell Clark,int:Senior Data Architect,mitchell.clark@example.org,mitchellclark,ext_fcc9a653,fcc9a653,cv_fcc9a653,455-718-8442,431.332.3705x89578,1995,Architecture,Ireland,Danish,f7156744,6793c394,2024-09-15,2024-01-06,8,2015,9,2019,False,ConsultCo,"Worked on data platforms, software delivery and BI.",Led a small team delivering cloud migration.
Joseph Zuniga,int:Joseph Zuniga,int:Senior AWS Engineer,joseph.zuniga@example.com,josephzuniga,ext_7e9ccceb,7e9ccceb,cv_7e9ccceb,446-778-6691,+1-217-378-5289x2268,1980,Cloud Engineering,India,Polish,ef2ef7d2,4764c1b7,2025-05-15,2025-06-09,5,2011,1,2012,False,Acme Bank,"Worked on data platforms, software delivery and BI.",
