Name,Name (multilang),Title (#{lang}),Email,UPN,External User ID,CV Partner User ID,CV Partner CV ID,Phone Number,Landline,Birth Year,Department,Country,Nationality,CV Partner section ID,External unique ID,Updated,Updated by owner,Year from,Year to,Highlighted,Name,Description
Associate Backend Engineer,int:Jeffrey Lawrence,int:Associate Backend Engineer,jeffrey.lawrence@example.org,jeffreylawrence,ext_e1de4a05,e1de4a05,cv_e1de4a05,4366900343,751-307-6226x8388,2001,Software Engineering,United Kingdom,Danish,46060486,218bfa01,2025-04-25,2025-08-16,2019,2020,True,Associate Backend Engineer,Progression based on delivery impact.
Associate Data Scientist,int:Lisa Smith,int:Associate Data Scientist,lisa.smith@example.org,lisasmith,ext_9bfe45cd,9bfe45cd,cv_9bfe45cd,(306)807-1596x9664,5528975161,1993,AI/ML,Ireland,British,fe328e7c,9cbce787,2025-05-15,2025-03-29,2017,2018,True,Associate Data Scientist,Progression based on delivery impact.
Associate Data Engineer,int:Linda Wolfe,int:Consultant Data Engineer,linda.wolfe@example.com,lindawolfe,ext_c8b7436b,c8b7436b,cv_c8b7436b,001-468-316-4535,418.383.5523x12432,1970,Data Engineering,Spain,Swedish,6c5f041c,b494f4f5,2024-04-09,2024-05-22,2019,2020,False,Associate Data Engineer,Progression based on delivery impact.
Consultant Data Engineer,int:Linda Wolfe,int:Consultant Data Engineer,linda.wolfe@example.com,lindawolfe,ext_c8b7436b,c8b7436b,cv_c8b7436b,001-468-316-4535,418.383.5523x12432,1970,Data Engineering,Spain,Swedish,add99d6a,8c1ce91e,2024-07-28,2025-09-10,2020,2021,False,Consultant Data Engineer,Progression based on delivery impact.
Consultant ML Engineer,int:Matthew Moore,int:Principal ML Engineer,matthew.moore@example.org,matthewmoore,ext_018fb683,018fb683,cv_018fb683,(777)499-7995,917.974.4905x814,1975,AI/ML,India,Swedish,c3e014b6,48d0662e,2026-03-25,2026-03-10,2021,2022,True,Consultant ML Engineer,Progression based on delivery impact.
Senior ML Engineer,int:Matthew Moore,int:Principal ML Engineer,matthew.moore@example.org,matthewmoore,ext_018fb683,018fb683,cv_018fb683,(777)499-7995,917.974.4905x814,1975,AI/ML,India,Swedish,d7b2982a,1dd3e192,2025-11-26,2025-04-25,2022,2023,True,Senior ML Engineer,Progression based on delivery impact.
Principal ML Engineer,int:Matthew Moore,int:Principal ML Engineer,matthew.moore@example.org,matthewmoore,ext_018fb683,018fb683,cv_018fb683,(777)499-7995,917.974.4905x814,1975,AI/ML,India,Swedish,7c1b14fb,9a6001b1,2024-04-05,2026-03-29,2023,2024,False,Principal ML Engineer,Progression based on delivery impact.
Associate C# Developer,int:Susan Rogers,int:Consultant C# Developer,susan.rogers@example.org,susanrogers,ext_2a2c1ef7,2a2c1ef7,cv_2a2c1ef7,8059411998,001-480-279-3597,1977,Software Engineering,Australia,Danish,99b63153,632eb066,2025-04-27,2024-11-09,2019,2020,False,Associate C# Developer,Progression based on delivery impact.
Consultant C# Developer,int:Susan Rogers,int:Consultant C# Developer,susan.rogers@example.org,susanrogers,ext_2a2c1ef7,2a2c1ef7,cv_2a2c1ef7,8059411998,001-480-279-3597,1977,Software Engineering,Australia,Danish,5bd24d99,58ee6b4a,2024-05-18,2024-09-16,2020,2021,True,Consultant C# Developer,Progression based on delivery impact.
Consultant Solution Architect,int:Christopher Davis,int:Principal Solution Architect,christopher.davis@example.com,christopherdavis,ext_7540b8df,7540b8df,cv_7540b8df,415.718.2037x788,(846)665-9051x518,1998,Architecture,Ireland,Swedish,5e06cbe7,a58c3368,2025-05-20,2025-07-16,2016,2017,True,Consultant Solution Architect,Progression based on delivery impact.
Senior Solution Architect,int:Christopher Davis,int:Principal Solution Architect,christopher.davis@example.com,christopherdavis,ext_7540b8df,7540b8df,cv_7540b8df,415.718.2037x788,(846)665-9051x518,1998,Architecture,Ireland,Swedish,b303760f,ef355772,2025-06-19,2024-04-08,2017,2018,True,Senior Solution Architect,Progression based on delivery impact.
Principal Solution Architect,int:Christopher Davis,int:Principal Solution Architect,christopher.davis@example.com,christopherdavis,ext_7540b8df,7540b8df,cv_7540b8df,415.718.2037x788,(846)665-9051x518,1998,Architecture,Ireland,Swedish,f47d1235,8b508b5e,2026-01-17,2025-07-02,2018,2019,True,Principal Solution Architect,Progression based on delivery impact.
Associate Cloud Architect,int:Melanie Munoz,int:Senior Cloud Architect,melanie.munoz@example.org,melaniemunoz,ext_c3d8ab92,c3d8ab92,cv_c3d8ab92,392-651-9254x629,+1-265-728-1685,1970,Architecture,Spain,Danish,ac61df6c,0b8de6c4,2025-11-18,2025-12-17,2019,2020,True,Associate Cloud Architect,Progression based on delivery impact.
Consultant Cloud Architect,int:Melanie Munoz,int:Senior Cloud Architect,melanie.munoz@example.org,melaniemunoz,ext_c3d8ab92,c3d8ab92,cv_c3d8ab92,392-651-9254x629,+1-265-728-1685,1970,Architecture,Spain,Danish,f388b90e,c87a9342,2025-07-26,2025-06-13,2020,2021,False,Consultant Cloud Architect,Progression based on delivery impact.
Senior Cloud Architect,int:Melanie Munoz,int:Senior Cloud Architect,melanie.munoz@example.org,melaniemunoz,ext_c3d8ab92,c3d8ab92,cv_c3d8ab92,392-651-9254x629,+1-265-728-1685,1970,Architecture,Spain,Danish,62c0d175,0ffcbc8f,2025-03-02,2024-05-07,2021,2022,True,Senior Cloud Architect,Progression based on delivery impact.
Associate Data Architect,int:Lindsay Blair,int:Consultant Data Architect,lindsay.blair@example.com,lindsayblair,ext_1587bf20,1587bf20,cv_1587bf20,223-757-3322x1418,001-592-996-2229x27065,1980,Architecture,Australia,Norwegian,5705c7e6,22012694,2024-05-14,2025-07-11,2018,2019,True,Associate Data Architect,Progression based on delivery impact.
Consultant Data Architect,int:Lindsay Blair,int:Consultant Data Architect,lindsay.blair@example.com,lindsayblair,ext_1587bf20,1587bf20,cv_1587bf20,223-757-3322x1418,001-592-996-2229x27065,1980,Architecture,Australia,Norwegian,01c6af54,60eb1e54,2025-10-08,2024-11-16,2019,2020,False,Consultant Data Architect,Progression based on delivery impact.
Associate Project Manager,int:Amanda Dudley,int:Senior Project Manager,amanda.dudley@mail.test,amandadudley,ext_c6867edd,c6867edd,cv_c6867edd,+1-947-638-3473x597,001-368-386-2392x40758,1975,Delivery Management,United Kingdom,Polish,6e8fbd7a,d7566d44,2025-07-29,2026-01-06,2016,2017,False,Associate Project Manager,Progression based on delivery impact.
Consultant Project Manager,int:Amanda Dudley,int:Senior Project Manager,amanda.dudley@mail.test,amandadudley,ext_c6867edd,c6867edd,cv_c6867edd,+1-947-638-3473x597,001-368-386-2392x40758,1975,Delivery Management,United Kingdom,Polish,734cd52b,101e0090,2026-02-27,2024-06-20,2017,2018,True,Consultant Project Manager,Progression based on delivery impact.
Senior Project Manager,int:Amanda Dudley,int:Senior Project Manager,amanda.dudley@mail.test,amandadudley,ext_c6867edd,c6867edd,cv_c6867edd,+1-947-638-3473x597,001-368-386-2392x40758,1975,Delivery Management,United Kingdom,Polish,b1b66609,63f52be8,2024-10-02,2026-03-22,2018,2019,True,Senior Project Manager,Progression based on delivery impact.
Consultant Python Developer,int:Nicholas Arnold,int:Principal Python Developer,nicholas.arnold@mail.test,nicholasarnold,ext_6ee34eb2,6ee34eb2,cv_6ee34eb2,812-247-8261x3750,(485)236-1530x5152,1973,Data Engineering,India,British,9349c7a4,989e9d84,2026-03-20,2025-04-27,2016,2017,True,Consultant Python Developer,
Senior Python Developer,int:Nicholas Arnold,int:Principal Python Developer,nicholas.arnold@mail.test,nicholasarnold,ext_6ee34eb2,6ee34eb2,cv_6ee34eb2,812-247-8261x3750,(485)236-1530x5152,1973,Data Engineering,India,British,2c91bcb5,4df806e2,2025-09-26,2024-04-21,2017,2018,False,Senior Python Developer,Progression based on delivery impact.
Principal Python Developer,int:Nicholas Arnold,int:Principal Python Developer,nicholas.arnold@mail.test,nicholasarnold,ext_6ee34eb2,6ee34eb2,cv_6ee34eb2,812-247-8261x3750,(485)236-1530x5152,1973,Data Engineering,India,British,cd1d5e59,b1897cd2,2025-09-06,2025-07-26,2018,2019,True,Principal Python Developer,Progression based on delivery impact.
Associate Frontend Engineer,int:Maria Montgomery,int:Consultant Frontend Engineer,maria.montgomery@example.org,mariamontgomery,ext_80934911,80934911,cv_80934911,872-377-9010x4328,001-243-541-0369x71179,1996,Software Engineering,Australia,British,cc667995,dc1d4130,2025-04-21,2025-04-23,2017,2018,False,Associate Frontend Engineer,
Consultant Frontend Engineer,int:Maria Montgomery,int:Consultant Frontend Engineer,maria.montgomery@example.org,mariamontgomery,ext_80934911,80934911,cv_80934911,872-377-9010x4328,001-243-541-0369x71179,1996,Software Engineering,Australia,British,3e8ebfdf,87a8b354,2025-03-06,2025-04-04,2018,2019,True,Consultant Frontend Engineer,Progression based on delivery impact.
Associate .NET Engineer,int:Michelle Ray,int:Associate .NET Engineer,michelle.ray@example.org,michelleray,ext_b902153f,b902153f,cv_b902153f,001-724-360-9539x621,388.788.0670x65405,1977,Software Engineering,Ireland,British,cf410d8d,626bab72,2025-06-06,2024-05-19,2021,2022,True,Associate .NET Engineer,Progression based on delivery impact.
Associate Frontend Engineer,int:Janet Williams,int:Senior Frontend Engineer,janet.williams@example.com,janetwilliams,ext_0fa87483,0fa87483,cv_0fa87483,419.952.0585,001-772-621-7043x030,1991,Software Engineering,United Kingdom,Swedish,8236af2f,970e188d,2024-06-08,2024-10-10,2018,2019,False,Associate Frontend Engineer,Progression based on delivery impact.
Consultant Frontend Engineer,int:Janet Williams,int:Senior Frontend Engineer,janet.williams@example.com,janetwilliams,ext_0fa87483,0fa87483,cv_0fa87483,419.952.0585,001-772-621-7043x030,1991,Software Engineering,United Kingdom,Swedish,c5c7d379,e78c4217,2024-07-24,2025-10-09,2019,2020,False,Consultant Frontend Engineer,Progression based on delivery impact.
Senior Frontend Engineer,int:Janet Williams,int:Senior Frontend Engineer,janet.williams@example.com,janetwilliams,ext_0fa87483,0fa87483,cv_0fa87483,419.952.0585,001-772-621-7043x030,1991,Software Engineering,United Kingdom,Swedish,1b6e9bd6,33edddc5,2024-06-16,2024-10-21,2020,2021,True,Senior Frontend Engineer,Progression based on delivery impact.
Consultant Databricks Engineer,int:Jeremy Roberts,int:Principal Databricks Engineer,jeremy.roberts@mail.test,jeremyroberts,ext_cbf996ce,cbf996ce,cv_cbf996ce,868.874.0345x05415,001-876-452-7758x4161,1975,Data Engineering,United Kingdom,Swedish,796d7663,1112feb9,2026-02-11,2025-09-16,2017,2018,True,Consultant Databricks Engineer,Progression based on delivery impact.
Senior Databricks Engineer,int:Jeremy Roberts,int:Principal Databricks Engineer,jeremy.roberts@mail.test,jeremyroberts,ext_cbf996ce,cbf996ce,cv_cbf996ce,868.874.0345x05415,001-876-452-7758x4161,1975,Data Engineering,United Kingdom,Swedish,7b3c3c46,551a2f27,2024-06-07,2024-04-03,2018,2019,True,Senior Databricks Engineer,Progression based on delivery impact.
Principal Databricks Engineer,int:Jeremy Roberts,int:Principal Databricks Engineer,jeremy.roberts@mail.test,jeremyroberts,ext_cbf996ce,cbf996ce,cv_cbf996ce,868.874.0345x05415,001-876-452-7758x4161,1975,Data Engineering,United Kingdom,Swedish,f0d58168,1a65c4b3,2024-08-06,2025-12-24,2019,2020,False,Principal Databricks Engineer,Progression based on delivery impact.
Associate Analytics Engineer,int:Christopher Hall,int:Senior Analytics Engineer,christopher.hall@example.com,christopherhall,ext_aa4a92e3,aa4a92e3,cv_aa4a92e3,+1-845-411-5447,001-775-470-5964x016,1973,Data Engineering,Australia,Swedish,e8a025a9,ed7c2e77,2025-07-08,2024-05-10,2019,2020,True,Associate Analytics Engineer,Progression based on delivery impact.
Consultant Analytics Engineer,int:Christopher Hall,int:Senior Analytics Engineer,christopher.hall@example.com,christopherhall,ext_aa4a92e3,aa4a92e3,cv_aa4a92e3,+1-845-411-5447,001-775-470-5964x016,1973,Data Engineering,Australia,Swedish,b82fa0b3,2708a7a3,2025-12-19,2025-02-11,2020,2021,True,Consultant Analytics Engineer,Progression based on delivery impact.
Senior Analytics Engineer,int:Christopher Hall,int:Senior Analytics Engineer,christopher.hall@example.com,christopherhall,ext_aa4a92e3,aa4a92e3,cv_aa4a92e3,+1-845-411-5447,001-775-470-5964x016,1973,Data Engineering,Australia,Swedish,2c01ef2b,dc0241fe,2024-10-17,2025-10-05,2021,2022,True,Senior Analytics Engineer,Progression based on delivery impact.
Associate Data Platform Engineer,int:Craig Ramirez,int:Senior Data Platform Engineer,craig.ramirez@mail.test,craigramirez,ext_542f72ed,542f72ed,cv_542f72ed,7298702135,001-409-727-5571,1975,Data Engineering,Spain,Swedish,00e5522a,1e6f490b,2025-10-27,2025-06-19,2021,2022,True,Associate Data Platform Engineer,
Consultant Data Platform Engineer,int:Craig Ramirez,int:Senior Data Platform Engineer,craig.ramirez@mail.test,craigramirez,ext_542f72ed,542f72ed,cv_542f72ed,7298702135,001-409-727-5571,1975,Data Engineering,Spain,Swedish,84dc180c,1056e164,2024-09-24,2025-08-18,2022,2023,False,Consultant Data Platform Engineer,Progression based on delivery impact.
Senior Data Platform Engineer,int:Craig Ramirez,int:Senior Data Platform Engineer,craig.ramirez@mail.test,craigramirez,ext_542f72ed,542f72ed,cv_542f72ed,7298702135,001-409-727-5571,1975,Data Engineering,Spain,Swedish,a39e40bf,37c3d8c1,2025-08-18,2024-07-14,2023,2024,True,Senior Data Platform Engineer,Progression based on delivery impact.
Senior Enterprise Architect,int:Cynthia Diaz,int:Lead Enterprise Architect,cynthia.diaz@mail.test,cynthiadiaz,ext_6597a97f,6597a97f,cv_6597a97f,(654)931-0278x6814,494.973.1217,1998,Architecture,United Kingdom,British,3c495dff,4c597507,2024-08-27,2025-08-27,2018,2019,True,Senior Enterprise Architect,Progression based on delivery impact.
Principal Enterprise Architect,int:Cynthia Diaz,int:Lead Enterprise Architect,cynthia.diaz@mail.test,cynthiadiaz,ext_6597a97f,6597a97f,cv_6597a97f,(654)931-0278x6814,494.973.1217,1998,Architecture,United Kingdom,British,f2e83377,8e32ab25,2025-08-22,2025-05-20,2019,2020,True,Principal Enterprise Architect,Progression based on delivery impact.
Lead Enterprise Architect,int:Cynthia Diaz,int:Lead Enterprise Architect,cynthia.diaz@mail.test,cynthiadiaz,ext_6597a97f,6597a97f,cv_6597a97f,(654)931-0278x6814,494.973.1217,1998,Architecture,United Kingdom,British,73d217f9,cf29d3ed,2024-09-30,2024-11-01,2020,2021,False,Lead Enterprise Architect,Progression based on delivery impact.
Associate Data Architect,int:Mitchell Clark,int:Senior Data Architect,mitchell.clark@example.org,mitchellclark,ext_fcc9a653,fcc9a653,cv_fcc9a653,455-718-8442,431.332.3705x89578,1995,Architecture,Ireland,Danish,1fbdd0cf,af840a3f,2026-03-15,2025-12-04,2021,2022,False,Associate Data Architect,
Consultant Data Architect,int:Mitchell Clark,int:Senior Data Architect,mitchell.clark@example.org,mitchellclark,ext_fcc9a653,fcc9a653,cv_fcc9a653,455-718-8442,431.332.3705x89578,1995,Architecture,Ireland,Danish,740f402a,00deea27,2024-12-15,2025-08-03,2022,2023,False,Consultant Data Architect,Progression based on delivery impact.
Senior Data Architect,int:Mitchell Clark,int:Senior Data Architect,mitchell.clark@example.org,mitchellclark,ext_fcc9a653,fcc9a653,cv_fcc9a653,455-718-8442,431.332.3705x89578,1995,Architecture,Ireland,Danish,e0166535,21facab7,2024-06-03,2026-03-31,2023,2024,False,Senior Data Architect,Progression based on delivery impact.
Associate AWS Engineer,int:Joseph Zuniga,int:Senior AWS Engineer,joseph.zuniga@example.com,josephzuniga,ext_7e9ccceb,7e9ccceb,cv_7e9ccceb,446-778-6691,+1-217-378-5289x2268,1980,Cloud Engineering,India,Polish,b858704c,ec65f863,2024-04-22,2025-12-02,2017,2018,False,Associate AWS Engineer,Progression based on delivery impact.
Consultant AWS Engineer,int:Joseph Zuniga,int:Senior AWS Engineer,joseph.zuniga@example.com,josephzuniga,ext_7e9ccceb,7e9ccceb,cv_7e9ccceb,446-778-6691,+1-217-378-5289x2268,1980,Cloud Engineering,India,Polish,4595796f,c4077193,2024-11-22,2024-04-22,2018,2019,True,Consultant AWS Engineer,Progression based on delivery impact.
Senior AWS Engineer,int:Joseph Zuniga,int:Senior AWS Engineer,joseph.zuniga@example.com,josephzuniga,ext_7e9ccceb,7e9ccceb,cv_7e9ccceb,446-778-6691,+1-217-378-5289x2268,1980,Cloud Engineering,India,Polish,12d6b7fb,65f89fc6,2025-03-02,2024-08-27,2019,2020,False,Senior AWS Engineer,
Associate Full-stack Engineer,int:Deborah Lynch,int:Senior Full-stack Engineer,deborah.lynch@mail.test,deborahlynch,ext_ee0a0445,ee0a0445,cv_ee0a0445,624.422.5358x41438,+1-749-281-8299x2299,1970,Software Engineering,Spain,Swedish,fffda07e,1862ad9a,2026-01-17,2024-08-12,2019,2020,False,Associate Full-stack Engineer,Progression based on delivery impact.
Consultant Full-stack Engineer,int:Deborah Lynch,int:Senior Full-stack Engineer,deborah.lynch@mail.test,deborahlynch,ext_ee0a0445,ee0a0445,cv_ee0a0445,624.422.5358x41438,+1-749-281-8299x2299,1970,Software Engineering,Spain,Swedish,a25e2cec,ebf2b131,2025-01-03,2025-09-11,2020,2021,True,Consultant Full-stack Engineer,Progression based on delivery impact.
Senior Full-stack Engineer,int:Deborah Lynch,int:Senior Full-stack Engineer,deborah.lynch@mail.test,deborahlynch,ext_ee0a0445,ee0a0445,cv_ee0a0445,624.422.5358x41438,+1-749-281-8299x2299,1970,Software Engineering,Spain,Swedish,23638388,feb1de38,2025-03-13,2024-07-09,2021,2022,False,Senior Full-stack Engineer,Progression based on delivery impact.
Consultant Backend Engineer,int:George Daniel,int:Principal Backend Engineer,george.daniel@example.org,georgedaniel,ext_5daff298,5daff298,cv_5daff298,2109943969,+1-884-947-3647x1027,1983,Software Engineering,Spain,Norwegian,323779c7,0568dfc9,2025-02-05,2024-05-24,2019,2020,False,Consultant Backend Engineer,Progression based on delivery impact.
Senior Backend Engineer,int:George Daniel,int:Principal Backend Engineer,george.daniel@example.org,georgedaniel,ext_5daff298,5daff298,cv_5daff298,2109943969,+1-884-947-3647x1027,1983,Software Engineering,Spain,Norwegian,41189d39,835340a4,2024-05-01,2025-10-09,2020,2021,False,Senior Backend Engineer,Progression based on delivery impact.
Principal Backend Engineer,int:George Daniel,int:Principal Backend Engineer,george.daniel@example.org,georgedaniel,ext_5daff298,5daff298,cv_5daff298,2109943969,+1-884-947-3647x1027,1983,Software Engineering,Spain,Norwegian,6a8db8e8,a634be6e,2024-05-22,2025-06-02,2021,2022,False,Principal Backend Engineer,Progression based on delivery impact.
Senior DDC Engineering,int:Frank Gray,int:Director of DDC Engineering,frank.gray@example.com,frankgray,ext_c1b425ec,c1b425ec,cv_c1b425ec,335.792.5556x258,671.847.3210,1990,Director of DDC Engineering,Ireland,Swedish,ce83990e,679cef7f,2024-06-12,2025-04-16,2017,2018,False,Senior DDC Engineering,Progression based on delivery impact.
Principal DDC Engineering,int:Frank Gray,int:Director of DDC Engineering,frank.gray@example.com,frankgray,ext_c1b425ec,c1b425ec,cv_c1b425ec,335.792.5556x258,671.847.3210,1990,Director of DDC Engineering,Ireland,Swedish,dbef5c4d,8538cc64,2024-05-15,2025-07-06,2018,2019,False,Principal DDC Engineering,Progression based on delivery impact.
Lead DDC Engineering,int:Frank Gray,int:Director of DDC Engineering,frank.gray@example.com,frankgray,ext_c1b425ec,c1b425ec,cv_c1b425ec,335.792.5556x258,671.847.3210,1990,Director of DDC Engineering,Ireland,Swedish,944f58df,afe8b02e,2026-03-18,2025-11-05,2019,2020,False,Lead DDC Engineering,Progression based on delivery impact.
Head of DDC Engineering,int:Frank Gray,int:Director of DDC Engineering,frank.gray@example.com,frankgray,ext_c1b425ec,c1b425ec,cv_c1b425ec,335.792.5556x258,671.847.3210,1990,Director of DDC Engineering,Ireland,Swedish,ecb705d6,b2cb5e37,2024-06-07,2024-10-26,2020,2021,True,Head of DDC Engineering,
Director of DDC Engineering,int:Frank Gray,int:Director of DDC Engineering,frank.gray@example.com,frankgray,ext_c1b425ec,c1b425ec,cv_c1b425ec,335.792.5556x258,671.847.3210,1990,Director of DDC Engineering,Ireland,Swedish,90a8cb94,3c5fc7bf,2025-07-04,2025-05-22,2021,2022,False,Director of DDC Engineering,Progression based on delivery impact.
