Name,Name (multilang),Title (#{lang}),Email,UPN,External User ID,CV Partner User ID,CV Partner CV ID,Phone Number,Landline,Birth Year,Department,Country,Nationality,CV Partner section ID,External unique ID,Updated,Updated by owner,Month from,Year from,Month to,Year to,Highlighted,Attachments,Place of study,Degree,Description
Debra Gardner,int:Debra Gardner,int:Senior AI Engineer,debra.gardner@mail.test,debragardner,ext_4ff6afec,4ff6afec,cv_4ff6afec,859-991-0229x0147,+1-976-643-8156x149,1996,AI/ML,Australia,British,88089585,c88beaf8,2022-12-05,2025-01-03,8,2021,11,2022,False,diploma.pdf,UCL,MSc Data Science,Thesis on scalable data pipelines.
Lisa Smith,int:Lisa Smith,int:Associate Data Scientist,lisa.smith@example.org,lisasmith,ext_9bfe45cd,9bfe45cd,cv_9bfe45cd,(306)807-1596x9664,5528975161,1993,AI/ML,Ireland,British,0f2a4774,23509ddf,2022-11-29,2023-06-02,3,2015,6,2018,False,diploma.pdf,NTNU,BEng Software Eng,Thesis on scalable data pipelines.
Lisa Smith,int:Lisa Smith,int:Associate Data Scientist,lisa.smith@example.org,lisasmith,ext_9bfe45cd,9bfe45cd,cv_9bfe45cd,(306)807-1596x9664,5528975161,1993,AI/ML,Ireland,British,46d07a3d,891a887c,2026-01-29,2025-04-10,11,2012,6,2016,False,diploma.pdf,UCL,MSc Data Science,
Matthew Moore,int:Matthew Moore,int:Principal ML Engineer,matthew.moore@example.org,matthewmoore,ext_018fb683,018fb683,cv_018fb683,(777)499-7995,917.974.4905x814,1975,AI/ML,India,Swedish,db058660,7dea1603,2026-01-03,2024-12-25,4,2022,8,2024,True,diploma.pdf,OU,BEng Software Eng,Thesis on scalable data pipelines.
Matthew Moore,int:Matthew Moore,int:Principal ML Engineer,matthew.moore@example.org,matthewmoore,ext_018fb683,018fb683,cv_018fb683,(777)499-7995,917.974.4905x814,1975,AI/ML,India,Swedish,ac111a13,5316870c,2025-06-08,2025-03-03,2,2021,3,2024,False,diploma.pdf,KTH,BSc Computer Science,
Matthew Moore,int:Matthew Moore,int:Principal ML Engineer,matthew.moore@example.org,matthewmoore,ext_018fb683,018fb683,cv_018fb683,(777)499-7995,917.974.4905x814,1975,AI/ML,India,Swedish,4aa3a3fe,0b465871,2022-08-28,2024-03-21,6,2009,1,2012,False,,OU,MSc Data Science,
Christopher Davis,int:Christopher Davis,int:Principal Solution Architect,christopher.davis@example.com,christopherdavis,ext_7540b8df,7540b8df,cv_7540b8df,415.718.2037x788,(846)665-9051x518,1998,Architecture,Ireland,Swedish,58d929c9,791a7459,2025-05-09,2022-07-09,9,2009,2,2012,True,diploma.pdf,UiO,BEng Software Eng,Thesis on scalable data pipelines.
Lindsay Blair,int:Lindsay Blair,int:Consultant Data Architect,lindsay.blair@example.com,lindsayblair,ext_1587bf20,1587bf20,cv_1587bf20,223-757-3322x1418,001-592-996-2229x27065,1980,Architecture,Australia,Norwegian,a1d23df0,b40cb669,2024-12-18,2022-10-02,1,2021,1,2023,True,diploma.pdf,UCL,BSc Computer Science,Thesis on scalable data pipelines.
Amanda Dudley,int:Amanda Dudley,int:Senior Project Manager,amanda.dudley@mail.test,amandadudley,ext_c6867edd,c6867edd,cv_c6867edd,+1-947-638-3473x597,001-368-386-2392x40758,1975,Delivery Management,United Kingdom,Polish,c8369762,7e23bcdd,2025-08-04,2025-02-02,2,2016,11,2019,False,diploma.pdf,KTH,BEng Software Eng,Thesis on scalable data pipelines.
Nicholas Arnold,int:Nicholas Arnold,int:Principal Python Developer,nicholas.arnold@mail.test,nicholasarnold,ext_6ee34eb2,6ee34eb2,cv_6ee34eb2,812-247-8261x3750,(485)236-1530x5152,1973,Data Engineering,India,British,5e45296e,a80d1be8,2025-09-16,2023-11-20,7,2023,9,2024,True,,OU,BEng Software Eng,Thesis on scalable data pipelines.
Maria Montgomery,int:Maria Montgomery,int:Consultant Frontend Engineer,maria.montgomery@example.org,mariamontgomery,ext_80934911,80934911,cv_80934911,872-377-9010x4328,001-243-541-0369x71179,1996,Software Engineering,Australia,British,303338e0,7f3f93fc,2025-09-27,2024-10-02,6,2022,8,2022,True,diploma.pdf,KTH,MSc Data Science,Thesis on scalable data pipelines.
Jeremy Roberts,int:Jeremy Roberts,int:Principal Databricks Engineer,jeremy.roberts@mail.test,jeremyroberts,ext_cbf996ce,cbf996ce,cv_cbf996ce,868.874.0345x05415,001-876-452-7758x4161,1975,Data Engineering,United Kingdom,Swedish,f5eae4fb,d162b26b,2024-12-21,2024-05-10,2,2015,8,2017,False,diploma.pdf,KTH,MSc Data Science,Thesis on scalable data pipelines.
Christopher Hall,int:Christopher Hall,int:Senior Analytics Engineer,christopher.hall@example.com,christopherhall,ext_aa4a92e3,aa4a92e3,cv_aa4a92e3,+1-845-411-5447,001-775-470-5964x016,1973,Data Engineering,Australia,Swedish,be0ca505,4802a1b4,2025-03-10,2025-11-18,7,2014,11,2017,True,,UCL,MSc Data Science,Thesis on scalable data pipelines.
Christopher Hall,int:Christopher Hall,int:Senior Analytics Engineer,christopher.hall@example.com,christopherhall,ext_aa4a92e3,aa4a92e3,cv_aa4a92e3,+1-845-411-5447,001-775-470-5964x016,1973,Data Engineering,Australia,Swedish,18141ee7,8932d7f6,2022-12-23,2025-10-11,5,2021,10,2021,False,diploma.pdf,UiO,BEng Software Eng,Thesis on scalable data pipelines.
Craig Ramirez,int:Craig Ramirez,int:Senior Data Platform Engineer,craig.ramirez@mail.test,craigramirez,ext_542f72ed,542f72ed,cv_542f72ed,7298702135,001-409-727-5571,1975,Data Engineering,Spain,Swedish,e3fb8410,70a60524,2024-03-08,2023-03-29,8,2010,8,2013,True,diploma.pdf,OU,MSc Data Science,Thesis on scalable data pipelines.
Craig Ramirez,int:Craig Ramirez,int:Senior Data Platform Engineer,craig.ramirez@mail.test,craigramirez,ext_542f72ed,542f72ed,cv_542f72ed,7298702135,001-409-727-5571,1975,Data Engineering,Spain,Swedish,3bd448f4,ed3a613d,2025-04-01,2023-11-08,8,2021,1,2023,True,,OU,BEng Software Eng,
Cynthia Diaz,int:Cynthia Diaz,int:Lead Enterprise Architect,cynthia.diaz@mail.test,cynthiadiaz,ext_6597a97f,6597a97f,cv_6597a97f,(654)931-0278x6814,494.973.1217,1998,Architecture,United Kingdom,British,5da9e9c4,bd76112c,2022-12-27,2022-08-27,4,2023,7,2024,False,diploma.pdf,OU,BEng Software Eng,
Cynthia Diaz,int:Cynthia Diaz,int:Lead Enterprise Architect,cynthia.diaz@mail.test,cynthiadiaz,ext_6597a97f,6597a97f,cv_6597a97f,(654)931-0278x6814,494.973.1217,1998,Architecture,United Kingdom,British,5ecba841,1fa9eb9b,2024-12-20,2024-05-14,11,2017,7,2022,False,diploma.pdf,UiO,BSc Computer Science,
Mitchell Clark,int:Mitchell Clark,int:Senior Data Architect,mitchell.clark@example.org,mitchellclark,ext_fcc9a653,fcc9a653,cv_fcc9a653,455-718-8442,431.332.3705x89578,1995,Architecture,Ireland,Danish,4f657536,f0680473,2025-04-30,2024-02-26,8,2021,8,2022,True,diploma.pdf,UCL,BEng Software Eng,Thesis on scalable data pipelines.
Deborah Lynch,int:Deborah Lynch,int:Senior Full-stack Engineer,deborah.lynch@mail.test,deborahlynch,ext_ee0a0445,ee0a0445,cv_ee0a0445,624.422.5358x41438,+1-749-281-8299x2299,1970,Software Engineering,Spain,Swedish,a647a3c2,a651b3d5,2025-10-27,2025-06-19,9,2021,6,2024,False,diploma.pdf,KTH,BEng Software Eng,
Deborah Lynch,int:Deborah Lynch,int:Senior Full-stack Engineer,deborah.lynch@mail.test,deborahlynch,ext_ee0a0445,ee0a0445,cv_ee0a0445,624.422.5358x41438,+1-749-281-8299x2299,1970,Software Engineering,Spain,Swedish,70b56d7e,a6e3b26c,2022-08-11,2023-04-18,11,2021,4,2023,True,diploma.pdf,NTNU,BEng Software Eng,Thesis on scalable data pipelines.
George Daniel,int:George Daniel,int:Principal Backend Engineer,george.daniel@example.org,georgedaniel,ext_5daff298,5daff298,cv_5daff298,2109943969,+1-884-947-3647x1027,1983,Software Engineering,Spain,Norwegian,3de1901e,f727fddc,2026-01-29,2022-07-15,5,2013,12,2017,True,diploma.pdf,KTH,BEng Software Eng,Thesis on scalable data pipelines.
George Daniel,int:George Daniel,int:Principal Backend Engineer,george.daniel@example.org,georgedaniel,ext_5daff298,5daff298,cv_5daff298,2109943969,+1-884-947-3647x1027,1983,Software Engineering,Spain,Norwegian,d8f5d774,082cf36a,2023-10-18,2023-12-17,5,2012,6,2014,True,diploma.pdf,NTNU,MSc Data Science,Thesis on scalable data pipelines.
Frank Gray,int:Frank Gray,int:Director of DDC Engineering,frank.gray@example.com,frankgray,ext_c1b425ec,c1b425ec,cv_c1b425ec,335.792.5556x258,671.847.3210,1990,Director of DDC Engineering,Ireland,Swedish,4b20bea9,66f3b94c,2024-01-20,2023-09-16,9,2023,7,2023,True,diploma.pdf,UCL,BEng Software Eng,Thesis on scalable data pipelines.
Frank Gray,int:Frank Gray,int:Director of DDC Engineering,frank.gray@example.com,frankgray,ext_c1b425ec,c1b425ec,cv_c1b425ec,335.792.5556x258,671.847.3210,1990,Director of DDC Engineering,Ireland,Swedish,6251fd07,2caad30f,2022-11-15,2023-09-12,8,2021,2,2024,True,diploma.pdf,KTH,BSc Computer Science,Thesis on scalable data pipelines.
Frank Gray,int:Frank Gray,int:Director of DDC Engineering,frank.gray@example.com,frankgray,ext_c1b425ec,c1b425ec,cv_c1b425ec,335.792.5556x258,671.847.3210,1990,Director of DDC Engineering,Ireland,Swedish,77cc5b92,3a876139,2023-12-12,2023-07-08,3,2012,12,2013,False,diploma.pdf,KTH,BSc Computer Science,Thesis on scalable data pipelines.
Veronica Bowman,int:Veronica Bowman,int:Senior Solution Architect,veronica.bowman@example.org,veronicabowman,ext_0e7ef243,0e7ef243,cv_0e7ef243,+1-963-625-9532x787,901.968.7339x5004,1992,Architecture,United Kingdom,Polish,aec4b573,04cb30a0,2025-01-19,2025-04-26,4,2023,3,2023,True,diploma.pdf,OU,BEng Software Eng,Thesis on scalable data pipelines.
Veronica Bowman,int:Veronica Bowman,int:Senior Solution Architect,veronica.bowman@example.org,veronicabowman,ext_0e7ef243,0e7ef243,cv_0e7ef243,+1-963-625-9532x787,901.968.7339x5004,1992,Architecture,United Kingdom,Polish,a297bd24,2c28163e,2023-08-12,2023-10-04,6,2010,6,2014,False,diploma.pdf,OU,MSc Data Science,Thesis on scalable data pipelines.
Veronica Bowman,int:Veronica Bowman,int:Senior Solution Architect,veronica.bowman@example.org,veronicabowman,ext_0e7ef243,0e7ef243,cv_0e7ef243,+1-963-625-9532x787,901.968.7339x5004,1992,Architecture,United Kingdom,Polish,b90df00c,b13fdb15,2026-01-16,2025-09-04,12,2021,10,2021,False,diploma.pdf,NTNU,BSc Computer Science,Thesis on scalable data pipelines.
Angela Cohen,int:Angela Cohen,int:Principal Python Developer,angela.cohen@example.org,angelacohen,ext_2f05b093,2f05b093,cv_2f05b093,580-716-2456x5060,+1-341-468-7849,2000,Data Engineering,Ireland,Danish,c2ad4b2b,ecfb3e89,2024-04-03,2025-12-29,3,2009,5,2013,True,diploma.pdf,OU,BEng Software Eng,Thesis on scalable data pipelines.
Jeremy Johnson,int:Jeremy Johnson,int:Consultant Data Platform Engineer,jeremy.johnson@example.com,jeremyjohnson,ext_98140f8b,98140f8b,cv_98140f8b,+1-652-969-4958x887,9556169409,1992,Data Engineering,United Kingdom,British,4133350f,c8737d16,2025-05-05,2025-05-01,7,2021,3,2021,False,diploma.pdf,NTNU,BSc Computer Science,Thesis on scalable data pipelines.
Leslie Adams,int:Leslie Adams,int:Consultant Backend Engineer,leslie.adams@mail.test,leslieadams,ext_6a0a42c7,6a0a42c7,cv_6a0a42c7,+1-299-330-9728x9623,907.256.2636,1980,Software Engineering,Ireland,Polish,09d07a61,5648bd87,2024-04-15,2025-01-19,7,2010,10,2013,False,diploma.pdf,UCL,MSc Data Science,
Leslie Adams,int:Leslie Adams,int:Consultant Backend Engineer,leslie.adams@mail.test,leslieadams,ext_6a0a42c7,6a0a42c7,cv_6a0a42c7,+1-299-330-9728x9623,907.256.2636,1980,Software Engineering,Ireland,Polish,5467b217,471c3a9b,2026-02-03,2025-09-29,7,2020,1,2022,False,diploma.pdf,NTNU,MSc Data Science,Thesis on scalable data pipelines.
Leslie Adams,int:Leslie Adams,int:Consultant Backend Engineer,leslie.adams@mail.test,leslieadams,ext_6a0a42c7,6a0a42c7,cv_6a0a42c7,+1-299-330-9728x9623,907.256.2636,1980,Software Engineering,Ireland,Polish,4eb8d2fe,72ae59f8,2022-07-22,2023-04-01,9,2023,10,2023,False,diploma.pdf,KTH,BSc Computer Science,Thesis on scalable data pipelines.
Jason Hahn,int:Jason Hahn,int:Principal Full-stack Engineer,jason.hahn@mail.test,jasonhahn,ext_a08226e9,a08226e9,cv_a08226e9,001-728-738-5786x527,+1-749-973-3484x34437,1976,Software Engineering,India,Polish,29bf9d4b,4a440b4c,2025-09-25,2023-12-05,11,2021,5,2024,False,,OU,BEng Software Eng,Thesis on scalable data pipelines.
Nancy Edwards,int:Nancy Edwards,int:Consultant Analytics Engineer,nancy.edwards@mail.test,nancyedwards,ext_e3d84519,e3d84519,cv_e3d84519,(284)641-9866x524,001-415-374-7338x484,1994,Data Engineering,United Kingdom,Danish,1e52fc93,87aa687b,2024-04-15,2023-09-08,4,2020,9,2023,False,,OU,BSc Computer Science,Thesis on scalable data pipelines.
Nancy Edwards,int:Nancy Edwards,int:Consultant Analytics Engineer,nancy.edwards@mail.test,nancyedwards,ext_e3d84519,e3d84519,cv_e3d84519,(284)641-9866x524,001-415-374-7338x484,1994,Data Engineering,United Kingdom,Danish,3e3a5bad,69ee5701,2025-11-11,2024-09-30,3,2019,5,2020,True,diploma.pdf,NTNU,BEng Software Eng,Thesis on scalable data pipelines.
Diana Foster,int:Diana Foster,int:Consultant Kubernetes Engineer,diana.foster@example.org,dianafoster,ext_75b430c5,75b430c5,cv_75b430c5,+1-993-330-8330x165,+1-520-282-6773x45401,1983,Cloud Engineering,Spain,British,00cfa7aa,e22b31d4,2026-01-07,2025-12-09,1,2014,5,2018,False,diploma.pdf,UiO,BSc Computer Science,Thesis on scalable data pipelines.
Diana Foster,int:Diana Foster,int:Consultant Kubernetes Engineer,diana.foster@example.org,dianafoster,ext_75b430c5,75b430c5,cv_75b430c5,+1-993-330-8330x165,+1-520-282-6773x45401,1983,Cloud Engineering,Spain,British,da4e3493,dec74710,2024-12-18,2024-04-30,7,2011,10,2014,True,diploma.pdf,KTH,BEng Software Eng,Thesis on scalable data pipelines.
Anna Baker,int:Anna Baker,int:Principal Python Developer,anna.baker@mail.test,annabaker,ext_09e52329,09e52329,cv_09e52329,563-274-5499x045,+1-417-942-6841x45933,1993,Data Engineering,Slovenia,Norwegian,a92003c5,ba36e536,2023-05-29,2022-06-11,7,2018,12,2022,True,diploma.pdf,KTH,MSc Data Science,Thesis on scalable data pipelines.
Anna Baker,int:Anna Baker,int:Principal Python Developer,anna.baker@mail.test,annabaker,ext_09e52329,09e52329,cv_09e52329,563-274-5499x045,+1-417-942-6841x45933,1993,Data Engineering,Slovenia,Norwegian,0f811241,0c8958f9,2026-02-09,2023-08-01,4,2008,9,2011,False,diploma.pdf,UCL,MSc Data Science,Thesis on scalable data pipelines.
Anna Baker,int:Anna Baker,int:Principal Python Developer,anna.baker@mail.test,annabaker,ext_09e52329,09e52329,cv_09e52329,563-274-5499x045,+1-417-942-6841x45933,1993,Data Engineering,Slovenia,Norwegian,8b9f0cbe,66c925e9,2024-11-29,2022-06-22,7,2009,5,2009,False,diploma.pdf,KTH,BSc Computer Science,Thesis on scalable data pipelines.
Brenda Hurst,int:Brenda Hurst,int:Senior MLOps Engineer,brenda.hurst@example.com,brendahurst,ext_e4415518,e4415518,cv_e4415518,(579)356-8783,478.751.9108x83982,1985,Data Engineering,United Kingdom,Polish,fb21eb6b,09bd9513,2024-12-02,2023-03-23,2,2015,7,2019,False,,KTH,MSc Data Science,Thesis on scalable data pipelines.
Brenda Hurst,int:Brenda Hurst,int:Senior MLOps Engineer,brenda.hurst@example.com,brendahurst,ext_e4415518,e4415518,cv_e4415518,(579)356-8783,478.751.9108x83982,1985,Data Engineering,United Kingdom,Polish,e2a448c9,c83af2ca,2024-05-26,2024-10-08,11,2014,4,2017,False,diploma.pdf,UCL,BSc Computer Science,Thesis on scalable data pipelines.
Brenda Hurst,int:Brenda Hurst,int:Senior MLOps Engineer,brenda.hurst@example.com,brendahurst,ext_e4415518,e4415518,cv_e4415518,(579)356-8783,478.751.9108x83982,1985,Data Engineering,United Kingdom,Polish,1af37f71,10e9a50e,2025-06-16,2024-06-08,6,2012,5,2014,False,diploma.pdf,UCL,BEng Software Eng,Thesis on scalable data pipelines.
Reginald Robinson,int:Reginald Robinson,int:Associate Data Engineer,reginald.robinson@mail.test,reginaldrobinson,ext_29a45840,29a45840,cv_29a45840,971.239.7187x07286,+1-374-206-4039,1978,Data Engineering,Australia,Swedish,9dc34c44,f351e721,2023-06-22,2024-01-03,11,2015,9,2016,False,diploma.pdf,OU,MSc Data Science,Thesis on scalable data pipelines.
Reginald Robinson,int:Reginald Robinson,int:Associate Data Engineer,reginald.robinson@mail.test,reginaldrobinson,ext_29a45840,29a45840,cv_29a45840,971.239.7187x07286,+1-374-206-4039,1978,Data Engineering,Australia,Swedish,e6e001cd,8229d34f,2024-10-10,2025-09-17,9,2016,4,2016,False,diploma.pdf,UiO,BEng Software Eng,Thesis on scalable data pipelines.
Whitney Hicks,int:Whitney Hicks,int:Associate .NET Engineer,whitney.hicks@mail.test,whitneyhicks,ext_1d2be751,1d2be751,cv_1d2be751,(851)980-1704x62265,(261)282-5128x6823,1979,Software Engineering,United Kingdom,Norwegian,adc9a38b,af9ca035,2024-03-09,2022-07-14,1,2020,6,2023,True,diploma.pdf,UCL,BSc Computer Science,Thesis on scalable data pipelines.
Daniel Burton,int:Daniel Burton,int:Associate .NET Engineer,daniel.burton@example.com,danielburton,ext_5ac8e5a9,5ac8e5a9,cv_5ac8e5a9,738.530.2843x959,928-236-4408x9268,1989,Software Engineering,Australia,Danish,a71e8644,2c45df76,2025-09-09,2023-11-15,8,2019,12,2019,True,diploma.pdf,UiO,MSc Data Science,Thesis on scalable data pipelines.
Daniel Burton,int:Daniel Burton,int:Associate .NET Engineer,daniel.burton@example.com,danielburton,ext_5ac8e5a9,5ac8e5a9,cv_5ac8e5a9,738.530.2843x959,928-236-4408x9268,1989,Software Engineering,Australia,Danish,58c66e0b,dc74786d,2023-08-01,2023-04-25,1,2012,6,2016,False,diploma.pdf,UiO,BSc Computer Science,Thesis on scalable data pipelines.
Laura Henderson,int:Laura Henderson,int:Director of Design,laura.henderson@example.com,laurahenderson,ext_15d19bbd,15d19bbd,cv_15d19bbd,(568)556-6246x287,527-708-6688x2634,1983,Director of Design,United Kingdom,Norwegian,302570ca,06cf05ac,2023-09-09,2025-05-08,10,2013,7,2015,False,diploma.pdf,NTNU,BEng Software Eng,Thesis on scalable data pipelines.
Laura Henderson,int:Laura Henderson,int:Director of Design,laura.henderson@example.com,laurahenderson,ext_15d19bbd,15d19bbd,cv_15d19bbd,(568)556-6246x287,527-708-6688x2634,1983,Director of Design,United Kingdom,Norwegian,387a1696,9900e03b,2024-05-22,2025-12-31,9,2013,1,2014,True,diploma.pdf,NTNU,MSc Data Science,Thesis on scalable data pipelines.
Bryan James,int:Bryan James,int:Associate Data Engineer,bryan.james@mail.test,bryanjames,ext_08bf9381,08bf9381,cv_08bf9381,+1-317-551-8304x6990,001-598-837-3540x33173,1975,Data Engineering,Spain,British,3df6a1d5,8d5dca05,2024-01-13,2023-06-06,11,2014,9,2019,True,diploma.pdf,NTNU,BSc Computer Science,Thesis on scalable data pipelines.
Bryan James,int:Bryan James,int:Associate Data Engineer,bryan.james@mail.test,bryanjames,ext_08bf9381,08bf9381,cv_08bf9381,+1-317-551-8304x6990,001-598-837-3540x33173,1975,Data Engineering,Spain,British,5fe4a8cb,2acabcb6,2025-02-27,2023-10-03,6,2014,10,2019,False,diploma.pdf,UCL,BEng Software Eng,Thesis on scalable data pipelines.
Wendy Rice,int:Wendy Rice,int:Principal Databricks Engineer,wendy.rice@mail.test,wendyrice,ext_06bbb81d,06bbb81d,cv_06bbb81d,685.746.7854,277.617.5355x60932,1991,Data Engineering,United Kingdom,Swedish,21fa0bcd,e06f9ac5,2022-11-14,2022-05-21,11,2019,2,2020,True,diploma.pdf,UiO,BEng Software Eng,Thesis on scalable data pipelines.
Wendy Rice,int:Wendy Rice,int:Principal Databricks Engineer,wendy.rice@mail.test,wendyrice,ext_06bbb81d,06bbb81d,cv_06bbb81d,685.746.7854,277.617.5355x60932,1991,Data Engineering,United Kingdom,Swedish,a52c11ce,be73e3c5,2025-07-02,2023-08-09,3,2017,10,2022,False,diploma.pdf,KTH,MSc Data Science,Thesis on scalable data pipelines.
Wendy Rice,int:Wendy Rice,int:Principal Databricks Engineer,wendy.rice@mail.test,wendyrice,ext_06bbb81d,06bbb81d,cv_06bbb81d,685.746.7854,277.617.5355x60932,1991,Data Engineering,United Kingdom,Swedish,b703061c,9465557b,2024-07-04,2025-07-09,5,2015,4,2015,True,diploma.pdf,UiO,BEng Software Eng,Thesis on scalable data pipelines.
Tasha Valencia,int:Tasha Valencia,int:Associate Solution Architect,tasha.valencia@example.org,tashavalencia,ext_8d470adf,8d470adf,cv_8d470adf,+1-899-564-2353,485.247.7725x2287,2000,Architecture,Ireland,Swedish,e58cb8c0,c04438e5,2022-07-01,2022-07-21,9,2022,5,2023,False,diploma.pdf,NTNU,BSc Computer Science,Thesis on scalable data pipelines.
Erin Herrera,int:Erin Herrera,int:Associate Python Developer,erin.herrera@mail.test,erinherrera,ext_27a1bf45,27a1bf45,cv_27a1bf45,5866211823,(246)315-6793x341,1995,Data Engineering,Slovenia,Swedish,c0c0b6dc,d5aeecda,2024-02-19,2022-12-31,3,2012,10,2017,True,diploma.pdf,NTNU,BEng Software Eng,Thesis on scalable data pipelines.
Joseph Davidson,int:Joseph Davidson,int:Senior Kubernetes Engineer,joseph.davidson@example.org,josephdavidson,ext_72f144b4,72f144b4,cv_72f144b4,(366)287-0021x7659,239.474.0148,1992,Cloud Engineering,United Kingdom,Norwegian,91e98481,9ab08b25,2025-05-19,2024-06-13,12,2018,7,2021,True,diploma.pdf,KTH,BEng Software Eng,Thesis on scalable data pipelines.
Joseph Davidson,int:Joseph Davidson,int:Senior Kubernetes Engineer,joseph.davidson@example.org,josephdavidson,ext_72f144b4,72f144b4,cv_72f144b4,(366)287-0021x7659,239.474.0148,1992,Cloud Engineering,United Kingdom,Norwegian,fb8924e4,a7299fe2,2024-07-23,2024-02-12,11,2019,7,2019,False,diploma.pdf,NTNU,BSc Computer Science,Thesis on scalable data pipelines.
Daniel Graham,int:Daniel Graham,int:Associate Azure Engineer,daniel.graham@example.com,danielgraham,ext_1662eb15,1662eb15,cv_1662eb15,703-892-6142x93968,001-821-785-0163x15999,1969,Cloud Engineering,United Kingdom,British,a425748f,043c7e08,2024-07-17,2023-10-04,5,2017,1,2022,False,diploma.pdf,UiO,BSc Computer Science,Thesis on scalable data pipelines.
Shawn Mckay,int:Shawn Mckay,int:Principal AWS Engineer,shawn.mckay@example.org,shawnmckay,ext_628cdd23,628cdd23,cv_628cdd23,4478735866,494-831-1426,1969,Cloud Engineering,Slovenia,Polish,23abfe36,f6d577f6,2023-05-11,2024-06-27,3,2021,9,2024,True,diploma.pdf,KTH,BSc Computer Science,Thesis on scalable data pipelines.
