Name,Name (multilang),Title (#{lang}),Email,UPN,External User ID,CV Partner User ID,CV Partner CV ID,Phone Number,Landline,Birth Year,Department,Country,Nationality,CV Partner section ID,External unique ID,Updated,Updated by owner,Month,Year,Month expire,Year expire
Linda Wolfe,int:Linda Wolfe,int:Consultant Data Engineer,linda.wolfe@example.com,lindawolfe,ext_c8b7436b,c8b7436b,cv_c8b7436b,001-468-316-4535,418.383.5523x12432,1970,Data Engineering,Spain,Swedish,bedb0923,46ffd6cd,2024-06-10,2025-04-07,5,2017,8,2020
Susan Rogers,int:Susan Rogers,int:Consultant C# Developer,susan.rogers@example.org,susanrogers,ext_2a2c1ef7,2a2c1ef7,cv_2a2c1ef7,8059411998,001-480-279-3597,1977,Software Engineering,Australia,Danish,382ed6c0,f95ee16f,2025-07-20,2024-09-02,1,2023,3,2024
Susan Rogers,int:Susan Rogers,int:Consultant C# Developer,susan.rogers@example.org,susanrogers,ext_2a2c1ef7,2a2c1ef7,cv_2a2c1ef7,8059411998,001-480-279-3597,1977,Software Engineering,Australia,Danish,d48d322a,75e89b5e,2024-07-09,2025-01-19,11,2019,7,2021
Susan Rogers,int:Susan Rogers,int:Consultant C# Developer,susan.rogers@example.org,susanrogers,ext_2a2c1ef7,2a2c1ef7,cv_2a2c1ef7,8059411998,001-480-279-3597,1977,Software Engineering,Australia,Danish,c838f35c,ed1587be,2024-06-23,2025-03-25,3,2024,12,2024
Susan Rogers,int:Susan Rogers,int:Consultant C# Developer,susan.rogers@example.org,susanrogers,ext_2a2c1ef7,2a2c1ef7,cv_2a2c1ef7,8059411998,001-480-279-3597,1977,Software Engineering,Australia,Danish,d275b261,25726510,2025-12-16,2024-08-04,11,2020,1,2021
Christopher Davis,int:Christopher Davis,int:Principal Solution Architect,christopher.davis@example.com,christopherdavis,ext_7540b8df,7540b8df,cv_7540b8df,415.718.2037x788,(846)665-9051x518,1998,Architecture,Ireland,Swedish,9656d8d6,a857ec8c,2024-05-30,2024-12-26,5,2021,5,2023
Christopher Davis,int:Christopher Davis,int:Principal Solution Architect,christopher.davis@example.com,christopherdavis,ext_7540b8df,7540b8df,cv_7540b8df,415.718.2037x788,(846)665-9051x518,1998,Architecture,Ireland,Swedish,4d71c4f3,ef29f3b0,2024-08-16,2024-06-06,7,2021,10,2022
Christopher Davis,int:Christopher Davis,int:Principal Solution Architect,christopher.davis@example.com,christopherdavis,ext_7540b8df,7540b8df,cv_7540b8df,415.718.2037x788,(846)665-9051x518,1998,Architecture,Ireland,Swedish,8ba2891d,e83d3638,2024-11-20,2025-01-19,6,2016,4,2017
Melanie Munoz,int:Melanie Munoz,int:Senior Cloud Architect,melanie.munoz@example.org,melaniemunoz,ext_c3d8ab92,c3d8ab92,cv_c3d8ab92,392-651-9254x629,+1-265-728-1685,1970,Architecture,Spain,Danish,b4ec5665,6ef5334f,2025-02-02,2025-06-12,12,2019,4,2021
Melanie Munoz,int:Melanie Munoz,int:Senior Cloud Architect,melanie.munoz@example.org,melaniemunoz,ext_c3d8ab92,c3d8ab92,cv_c3d8ab92,392-651-9254x629,+1-265-728-1685,1970,Architecture,Spain,Danish,5dc8b5dc,21fc8c28,2025-12-10,2025-09-30,4,2023,2,2025
Melanie Munoz,int:Melanie Munoz,int:Senior Cloud Architect,melanie.munoz@example.org,melaniemunoz,ext_c3d8ab92,c3d8ab92,cv_c3d8ab92,392-651-9254x629,+1-265-728-1685,1970,Architecture,Spain,Danish,3ea29a6e,a44189cd,2026-02-08,2024-11-08,7,2019,1,2019
Lindsay Blair,int:Lindsay Blair,int:Consultant Data Architect,lindsay.blair@example.com,lindsayblair,ext_1587bf20,1587bf20,cv_1587bf20,223-757-3322x1418,001-592-996-2229x27065,1980,Architecture,Australia,Norwegian,887863c6,c187e611,2025-09-04,2026-03-13,6,2024,5,2025
Lindsay Blair,int:Lindsay Blair,int:Consultant Data Architect,lindsay.blair@example.com,lindsayblair,ext_1587bf20,1587bf20,cv_1587bf20,223-757-3322x1418,001-592-996-2229x27065,1980,Architecture,Australia,Norwegian,76b2f5ad,64d2e53d,2025-08-24,2025-11-02,9,2022,4,2022
Lindsay Blair,int:Lindsay Blair,int:Consultant Data Architect,lindsay.blair@example.com,lindsayblair,ext_1587bf20,1587bf20,cv_1587bf20,223-757-3322x1418,001-592-996-2229x27065,1980,Architecture,Australia,Norwegian,2d4379b2,a614abbb,2025-02-14,2025-04-01,1,2018,12,2020
Lindsay Blair,int:Lindsay Blair,int:Consultant Data Architect,lindsay.blair@example.com,lindsayblair,ext_1587bf20,1587bf20,cv_1587bf20,223-757-3322x1418,001-592-996-2229x27065,1980,Architecture,Australia,Norwegian,0a62941f,7e4a18fa,2024-12-01,2025-07-07,8,2020,11,2022
Amanda Dudley,int:Amanda Dudley,int:Senior Project Manager,amanda.dudley@mail.test,amandadudley,ext_c6867edd,c6867edd,cv_c6867edd,+1-947-638-3473x597,001-368-386-2392x40758,1975,Delivery Management,United Kingdom,Polish,fe39adc1,89a5a2fa,2025-02-25,2024-11-17,4,2022,4,2024
Amanda Dudley,int:Amanda Dudley,int:Senior Project Manager,amanda.dudley@mail.test,amandadudley,ext_c6867edd,c6867edd,cv_c6867edd,+1-947-638-3473x597,001-368-386-2392x40758,1975,Delivery Management,United Kingdom,Polish,0a718727,3285acce,2025-02-18,2026-03-18,3,2017,9,2018
Amanda Dudley,int:Amanda Dudley,int:Senior Project Manager,amanda.dudley@mail.test,amandadudley,ext_c6867edd,c6867edd,cv_c6867edd,+1-947-638-3473x597,001-368-386-2392x40758,1975,Delivery Management,United Kingdom,Polish,76e4d8a2,3abda64d,2025-10-15,2024-10-31,5,2016,10,2019
Amanda Dudley,int:Amanda Dudley,int:Senior Project Manager,amanda.dudley@mail.test,amandadudley,ext_c6867edd,c6867edd,cv_c6867edd,+1-947-638-3473x597,001-368-386-2392x40758,1975,Delivery Management,United Kingdom,Polish,e8917648,36e4ddbe,2024-07-10,2025-08-30,5,2016,11,2017
Nicholas Arnold,int:Nicholas Arnold,int:Principal Python Developer,nicholas.arnold@mail.test,nicholasarnold,ext_6ee34eb2,6ee34eb2,cv_6ee34eb2,812-247-8261x3750,(485)236-1530x5152,1973,Data Engineering,India,British,c06411cd,cc767985,2025-06-21,2024-12-03,10,2022,10,2023
Nicholas Arnold,int:Nicholas Arnold,int:Principal Python Developer,nicholas.arnold@mail.test,nicholasarnold,ext_6ee34eb2,6ee34eb2,cv_6ee34eb2,812-247-8261x3750,(485)236-1530x5152,1973,Data Engineering,India,British,b01473ff,672bb6d6,2024-07-07,2024-04-06,6,2019,6,2022
Maria Montgomery,int:Maria Montgomery,int:Consultant Frontend Engineer,maria.montgomery@example.org,mariamontgomery,ext_80934911,80934911,cv_80934911,872-377-9010x4328,001-243-541-0369x71179,1996,Software Engineering,Australia,British,f412b4c9,abc7bf15,2025-06-09,2025-11-01,2,2021,12,2024
Michelle Ray,int:Michelle Ray,int:Associate .NET Engineer,michelle.ray@example.org,michelleray,ext_b902153f,b902153f,cv_b902153f,001-724-360-9539x621,388.788.0670x65405,1977,Software Engineering,Ireland,British,1f989b99,2c9d2a6d,2026-01-10,2024-10-12,7,2023,9,2024
Janet Williams,int:Janet Williams,int:Senior Frontend Engineer,janet.williams@example.com,janetwilliams,ext_0fa87483,0fa87483,cv_0fa87483,419.952.0585,001-772-621-7043x030,1991,Software Engineering,United Kingdom,Swedish,b1a1a76c,53fec996,2026-01-31,2026-01-02,12,2023,4,2026
Janet Williams,int:Janet Williams,int:Senior Frontend Engineer,janet.williams@example.com,janetwilliams,ext_0fa87483,0fa87483,cv_0fa87483,419.952.0585,001-772-621-7043x030,1991,Software Engineering,United Kingdom,Swedish,6f5c0049,f48f46c8,2025-12-30,2025-02-05,2,2025,7,2028
Janet Williams,int:Janet Williams,int:Senior Frontend Engineer,janet.williams@example.com,janetwilliams,ext_0fa87483,0fa87483,cv_0fa87483,419.952.0585,001-772-621-7043x030,1991,Software Engineering,United Kingdom,Swedish,761d9d04,922e8994,2025-11-09,2025-12-01,4,2018,12,2021
Jeremy Roberts,int:Jeremy Roberts,int:Principal Databricks Engineer,jeremy.roberts@mail.test,jeremyroberts,ext_cbf996ce,cbf996ce,cv_cbf996ce,868.874.0345x05415,001-876-452-7758x4161,1975,Data Engineering,United Kingdom,Swedish,3165efda,4caf6520,2025-06-24,2026-01-25,6,2025,5,2027
Jeremy Roberts,int:Jeremy Roberts,int:Principal Databricks Engineer,jeremy.roberts@mail.test,jeremyroberts,ext_cbf996ce,cbf996ce,cv_cbf996ce,868.874.0345x05415,001-876-452-7758x4161,1975,Data Engineering,United Kingdom,Swedish,96ab7dab,0d0c2666,2025-10-03,2026-03-10,8,2023,5,2025
Jeremy Roberts,int:Jeremy Roberts,int:Principal Databricks Engineer,jeremy.roberts@mail.test,jeremyroberts,ext_cbf996ce,cbf996ce,cv_cbf996ce,868.874.0345x05415,001-876-452-7758x4161,1975,Data Engineering,United Kingdom,Swedish,1023783f,0aad184a,2025-01-05,2025-03-03,4,2019,10,2022
Christopher Hall,int:Christopher Hall,int:Senior Analytics Engineer,christopher.hall@example.com,christopherhall,ext_aa4a92e3,aa4a92e3,cv_aa4a92e3,+1-845-411-5447,001-775-470-5964x016,1973,Data Engineering,Australia,Swedish,b79b4245,90fd2ba2,2025-11-14,2024-12-18,2,2022,7,2023
Christopher Hall,int:Christopher Hall,int:Senior Analytics Engineer,christopher.hall@example.com,christopherhall,ext_aa4a92e3,aa4a92e3,cv_aa4a92e3,+1-845-411-5447,001-775-470-5964x016,1973,Data Engineering,Australia,Swedish,8af09b98,f7551259,2024-08-22,2025-02-08,5,2019,11,2019
Christopher Hall,int:Christopher Hall,int:Senior Analytics Engineer,christopher.hall@example.com,christopherhall,ext_aa4a92e3,aa4a92e3,cv_aa4a92e3,+1-845-411-5447,001-775-470-5964x016,1973,Data Engineering,Australia,Swedish,f7748af0,66a45606,2026-02-23,2026-02-23,7,2019,8,2020
Christopher Hall,int:Christopher Hall,int:Senior Analytics Engineer,christopher.hall@example.com,christopherhall,ext_aa4a92e3,aa4a92e3,cv_aa4a92e3,+1-845-411-5447,001-775-470-5964x016,1973,Data Engineering,Australia,Swedish,a5372344,7e5f6cdd,2024-06-18,2024-09-12,4,2019,10,2019
Craig Ramirez,int:Craig Ramirez,int:Senior Data Platform Engineer,craig.ramirez@mail.test,craigramirez,ext_542f72ed,542f72ed,cv_542f72ed,7298702135,001-409-727-5571,1975,Data Engineering,Spain,Swedish,54939640,9b6f00b1,2025-09-06,2024-05-23,9,2023,11,2025
Craig Ramirez,int:Craig Ramirez,int:Senior Data Platform Engineer,craig.ramirez@mail.test,craigramirez,ext_542f72ed,542f72ed,cv_542f72ed,7298702135,001-409-727-5571,1975,Data Engineering,Spain,Swedish,2c8ed159,a0fa6011,2024-07-05,2025-09-26,7,2019,2,2019
Craig Ramirez,int:Craig Ramirez,int:Senior Data Platform Engineer,craig.ramirez@mail.test,craigramirez,ext_542f72ed,542f72ed,cv_542f72ed,7298702135,001-409-727-5571,1975,Data Engineering,Spain,Swedish,9db62522,b634e5ed,2024-09-13,2025-12-19,9,2023,12,2026
Cynthia Diaz,int:Cynthia Diaz,int:Lead Enterprise Architect,cynthia.diaz@mail.test,cynthiadiaz,ext_6597a97f,6597a97f,cv_6597a97f,(654)931-0278x6814,494.973.1217,1998,Architecture,United Kingdom,British,44d0b83b,54636a3b,2024-10-12,2024-12-01,7,2025,8,2026
Mitchell Clark,int:Mitchell Clark,int:Senior Data Architect,mitchell.clark@example.org,mitchellclark,ext_fcc9a653,fcc9a653,cv_fcc9a653,455-718-8442,431.332.3705x89578,1995,Architecture,Ireland,Danish,d66ce038,bba101e8,2026-02-13,2025-04-07,12,2017,11,2020
Mitchell Clark,int:Mitchell Clark,int:Senior Data Architect,mitchell.clark@example.org,mitchellclark,ext_fcc9a653,fcc9a653,cv_fcc9a653,455-718-8442,431.332.3705x89578,1995,Architecture,Ireland,Danish,60625933,c3fb2b05,2025-05-31,2025-02-06,4,2020,9,2022
George Daniel,int:George Daniel,int:Principal Backend Engineer,george.daniel@example.org,georgedaniel,ext_5daff298,5daff298,cv_5daff298,2109943969,+1-884-947-3647x1027,1983,Software Engineering,Spain,Norwegian,44b0bd31,dfda86e7,2024-07-11,2024-05-11,5,2023,5,2026
George Daniel,int:George Daniel,int:Principal Backend Engineer,george.daniel@example.org,georgedaniel,ext_5daff298,5daff298,cv_5daff298,2109943969,+1-884-947-3647x1027,1983,Software Engineering,Spain,Norwegian,7a909438,cafe652a,2025-10-18,2024-08-12,11,2025,4,2028
George Daniel,int:George Daniel,int:Principal Backend Engineer,george.daniel@example.org,georgedaniel,ext_5daff298,5daff298,cv_5daff298,2109943969,+1-884-947-3647x1027,1983,Software Engineering,Spain,Norwegian,9e02230d,f588d247,2025-03-02,2025-02-06,11,2017,3,2017
George Daniel,int:George Daniel,int:Principal Backend Engineer,george.daniel@example.org,georgedaniel,ext_5daff298,5daff298,cv_5daff298,2109943969,+1-884-947-3647x1027,1983,Software Engineering,Spain,Norwegian,6aa33d45,b47adb2b,2024-08-24,2025-11-19,9,2023,10,2026
Frank Gray,int:Frank Gray,int:Director of DDC Engineering,frank.gray@example.com,frankgray,ext_c1b425ec,c1b425ec,cv_c1b425ec,335.792.5556x258,671.847.3210,1990,Director of DDC Engineering,Ireland,Swedish,1fd12af2,618f4c41,2024-06-10,2025-01-21,7,2019,12,2022
Frank Gray,int:Frank Gray,int:Director of DDC Engineering,frank.gray@example.com,frankgray,ext_c1b425ec,c1b425ec,cv_c1b425ec,335.792.5556x258,671.847.3210,1990,Director of DDC Engineering,Ireland,Swedish,dceae65a,57077ca0,2025-08-10,2024-07-04,8,2022,7,2025
Frank Gray,int:Frank Gray,int:Director of DDC Engineering,frank.gray@example.com,frankgray,ext_c1b425ec,c1b425ec,cv_c1b425ec,335.792.5556x258,671.847.3210,1990,Director of DDC Engineering,Ireland,Swedish,98734c96,175a60a3,2025-11-23,2024-12-03,4,2021,4,2024
Frank Gray,int:Frank Gray,int:Director of DDC Engineering,frank.gray@example.com,frankgray,ext_c1b425ec,c1b425ec,cv_c1b425ec,335.792.5556x258,671.847.3210,1990,Director of DDC Engineering,Ireland,Swedish,8adfd66c,cd379040,2024-12-26,2025-03-30,1,2016,6,2016
Veronica Bowman,int:Veronica Bowman,int:Senior Solution Architect,veronica.bowman@example.org,veronicabowman,ext_0e7ef243,0e7ef243,cv_0e7ef243,+1-963-625-9532x787,901.968.7339x5004,1992,Architecture,United Kingdom,Polish,092093bd,16a78baa,2025-06-25,2025-12-08,1,2024,12,2025
Veronica Bowman,int:Veronica Bowman,int:Senior Solution Architect,veronica.bowman@example.org,veronicabowman,ext_0e7ef243,0e7ef243,cv_0e7ef243,+1-963-625-9532x787,901.968.7339x5004,1992,Architecture,United Kingdom,Polish,bd4c9230,05e99b0c,2024-11-07,2024-08-24,9,2019,1,2019
Megan Parsons,int:Megan Parsons,int:Associate DevOps Engineer,megan.parsons@mail.test,meganparsons,ext_afc823c9,afc823c9,cv_afc823c9,865-258-5239,4027578729,1974,Cloud Engineering,Spain,Danish,5f664a03,4206592d,2024-09-23,2024-06-11,6,2018,3,2018
Megan Parsons,int:Megan Parsons,int:Associate DevOps Engineer,megan.parsons@mail.test,meganparsons,ext_afc823c9,afc823c9,cv_afc823c9,865-258-5239,4027578729,1974,Cloud Engineering,Spain,Danish,344ab377,5fd496ca,2024-07-31,2026-03-22,11,2023,8,2026
Megan Parsons,int:Megan Parsons,int:Associate DevOps Engineer,megan.parsons@mail.test,meganparsons,ext_afc823c9,afc823c9,cv_afc823c9,865-258-5239,4027578729,1974,Cloud Engineering,Spain,Danish,8e099e46,825f3fe0,2024-05-31,2024-11-05,11,2025,12,2028
Leslie Adams,int:Leslie Adams,int:Consultant Backend Engineer,leslie.adams@mail.test,leslieadams,ext_6a0a42c7,6a0a42c7,cv_6a0a42c7,+1-299-330-9728x9623,907.256.2636,1980,Software Engineering,Ireland,Polish,f7249ae8,f1be3a76,2025-02-03,2024-04-10,3,2021,2,2024
Leslie Adams,int:Leslie Adams,int:Consultant Backend Engineer,leslie.adams@mail.test,leslieadams,ext_6a0a42c7,6a0a42c7,cv_6a0a42c7,+1-299-330-9728x9623,907.256.2636,1980,Software Engineering,Ireland,Polish,83b5dbe7,bef10672,2026-02-21,2025-10-10,7,2020,9,2020
Leslie Adams,int:Leslie Adams,int:Consultant Backend Engineer,leslie.adams@mail.test,leslieadams,ext_6a0a42c7,6a0a42c7,cv_6a0a42c7,+1-299-330-9728x9623,907.256.2636,1980,Software Engineering,Ireland,Polish,cf846c49,63f6d47d,2026-03-08,2025-11-06,3,2024,3,2025
Leslie Adams,int:Leslie Adams,int:Consultant Backend Engineer,leslie.adams@mail.test,leslieadams,ext_6a0a42c7,6a0a42c7,cv_6a0a42c7,+1-299-330-9728x9623,907.256.2636,1980,Software Engineering,Ireland,Polish,fa9bf151,8f90fa9c,2025-06-06,2025-03-02,11,2020,7,2020
Jason Hahn,int:Jason Hahn,int:Principal Full-stack Engineer,jason.hahn@mail.test,jasonhahn,ext_a08226e9,a08226e9,cv_a08226e9,001-728-738-5786x527,+1-749-973-3484x34437,1976,Software Engineering,India,Polish,cb8fecab,8e24c8da,2024-12-05,2024-04-18,6,2017,6,2020
Jason Hahn,int:Jason Hahn,int:Principal Full-stack Engineer,jason.hahn@mail.test,jasonhahn,ext_a08226e9,a08226e9,cv_a08226e9,001-728-738-5786x527,+1-749-973-3484x34437,1976,Software Engineering,India,Polish,a957f8b8,08706154,2025-09-28,2025-02-14,7,2022,6,2025
Jason Hahn,int:Jason Hahn,int:Principal Full-stack Engineer,jason.hahn@mail.test,jasonhahn,ext_a08226e9,a08226e9,cv_a08226e9,001-728-738-5786x527,+1-749-973-3484x34437,1976,Software Engineering,India,Polish,46c09dc8,c284d898,2025-08-23,2024-09-23,1,2020,9,2021
Nancy Edwards,int:Nancy Edwards,int:Consultant Analytics Engineer,nancy.edwards@mail.test,nancyedwards,ext_e3d84519,e3d84519,cv_e3d84519,(284)641-9866x524,001-415-374-7338x484,1994,Data Engineering,United Kingdom,Danish,542866d0,9664a129,2025-09-13,2024-05-14,10,2018,12,2020
Robin Ellis,int:Robin Ellis,int:Senior Full-stack Engineer,robin.ellis@example.org,robinellis,ext_2b935dac,2b935dac,cv_2b935dac,(262)606-7240,001-491-954-7887,1971,Software Engineering,USA,Norwegian,164a1ae2,17b69a30,2025-09-24,2025-02-23,10,2017,10,2017
Robin Ellis,int:Robin Ellis,int:Senior Full-stack Engineer,robin.ellis@example.org,robinellis,ext_2b935dac,2b935dac,cv_2b935dac,(262)606-7240,001-491-954-7887,1971,Software Engineering,USA,Norwegian,594a0841,c4c1beac,2025-07-17,2024-08-22,8,2022,9,2024
Robin Ellis,int:Robin Ellis,int:Senior Full-stack Engineer,robin.ellis@example.org,robinellis,ext_2b935dac,2b935dac,cv_2b935dac,(262)606-7240,001-491-954-7887,1971,Software Engineering,USA,Norwegian,bcb27866,f771e17c,2025-06-04,2025-10-14,8,2023,8,2024
Robin Ellis,int:Robin Ellis,int:Senior Full-stack Engineer,robin.ellis@example.org,robinellis,ext_2b935dac,2b935dac,cv_2b935dac,(262)606-7240,001-491-954-7887,1971,Software Engineering,USA,Norwegian,96d140ef,0debe0c8,2024-09-14,2025-07-09,6,2025,1,2028
Anna Baker,int:Anna Baker,int:Principal Python Developer,anna.baker@mail.test,annabaker,ext_09e52329,09e52329,cv_09e52329,563-274-5499x045,+1-417-942-6841x45933,1993,Data Engineering,Slovenia,Norwegian,aa3a7f0f,921b6864,2025-10-27,2026-02-13,5,2023,10,2024
Anna Baker,int:Anna Baker,int:Principal Python Developer,anna.baker@mail.test,annabaker,ext_09e52329,09e52329,cv_09e52329,563-274-5499x045,+1-417-942-6841x45933,1993,Data Engineering,Slovenia,Norwegian,315738e4,71fc434e,2025-03-02,2024-04-29,7,2020,6,2021
Brenda Hurst,int:Brenda Hurst,int:Senior MLOps Engineer,brenda.hurst@example.com,brendahurst,ext_e4415518,e4415518,cv_e4415518,(579)356-8783,478.751.9108x83982,1985,Data Engineering,United Kingdom,Polish,8f75cae6,369b7aac,2024-08-03,2025-07-20,7,2023,8,2023
Brenda Hurst,int:Brenda Hurst,int:Senior MLOps Engineer,brenda.hurst@example.com,brendahurst,ext_e4415518,e4415518,cv_e4415518,(579)356-8783,478.751.9108x83982,1985,Data Engineering,United Kingdom,Polish,020e79e8,5f57c36b,2026-01-14,2024-04-15,9,2025,7,2028
Brenda Hurst,int:Brenda Hurst,int:Senior MLOps Engineer,brenda.hurst@example.com,brendahurst,ext_e4415518,e4415518,cv_e4415518,(579)356-8783,478.751.9108x83982,1985,Data Engineering,United Kingdom,Polish,2baeb6ee,d5d3b800,2024-11-18,2025-08-09,9,2016,12,2016
Brenda Hurst,int:Brenda Hurst,int:Senior MLOps Engineer,brenda.hurst@example.com,brendahurst,ext_e4415518,e4415518,cv_e4415518,(579)356-8783,478.751.9108x83982,1985,Data Engineering,United Kingdom,Polish,61818180,3d265138,2026-03-05,2026-01-12,12,2016,8,2019
