Name,Name (multilang),Title (#{lang}),Email,UPN,External User ID,CV Partner User ID,CV Partner CV ID,Phone Number,Landline,Birth Year,Department,Country,Nationality (#{lang}),Owner last removed or added a section,Owner last updated CV,Last updated CV,Summary Of Qualifications,Owner last updated Qualifications,Project Experiences,Unique roles,Owner last updated Project Experiences,Highlighted roles,Owner last updated Highlighted roles,Skill categories,Owner last updated Skill categories,Educations,Years of education,Owner last updated Educations,Work experiences,Years since first work experience,Owner last updated Work experiences,Certifications,Owner last updated Certifications,Courses,Owner last updated Courses,Presentations,Owner last updated Presentations,Recommendations,Owner last updated Recommendations,Positions,Owner last updated Positions,Mentoring,Owner last updated Mentoring,Publications,Owner last updated Publications,Honors and awards,Owner last updated Honors and awards,Languages,Owner last updated Languages,Owner last updated Unique roles
Amanda Dudley,int:Amanda Dudley,int:Senior Project Manager,amanda.dudley@mail.test,amandadudley,ext_c6867edd,c6867edd,cv_c6867edd,+1-947-638-3473x597,001-368-386-2392x40758,1975,Delivery Management,United Kingdom,int:Polish,2025-04-18,2025-06-27,2025-09-07,Senior Project Manager in delivery management delivering data platforms & analytics.,2026-01-26,5,4,2025-05-01,1,2026-01-02,4,2025-03-28,1,17,2025-04-27,2,13,2025-06-28,3,2025-11-05,3,2025-08-15,0,2025-06-27,2,2026-03-24,1,2025-12-24,0,2025-03-13,2,2025-08-19,0,2025-03-12,1,2025-12-17,2024-06-17
Nicholas Arnold,int:Nicholas Arnold,int:Principal Python Developer,nicholas.arnold@mail.test,nicholasarnold,ext_6ee34eb2,6ee34eb2,cv_6ee34eb2,812-247-8261x3750,(485)236-1530x5152,1973,Data Engineering,India,int:British,2026-03-10,2026-01-06,2025-10-23,,2025-03-01,6,0,2025-09-30,1,2024-05-09,5,2024-10-06,2,18,2024-09-16,4,10,2024-08-03,3,2025-02-15,0,2024-12-01,2,2024-08-05,2,2025-11-24,4,2025-07-12,1,2026-03-25,4,2024-04-30,1,2024-10-25,1,2024-04-03,2025-04-15
Maria Montgomery,int:Maria Montgomery,int:Consultant Frontend Engineer,maria.montgomery@example.org,mariamontgomery,ext_80934911,80934911,cv_80934911,872-377-9010x4328,001-243-541-0369x71179,1996,Software Engineering,Australia,int:British,2025-08-22,2025-10-04,2025-08-07,Consultant Frontend Engineer in software engineering delivering data platforms & analytics.,2024-11-05,1,1,2025-06-14,1,2025-01-20,4,2024-10-17,2,15,2025-08-12,0,20,2025-05-26,2,2024-06-22,5,2026-01-04,1,2025-05-26,2,2025-02-11,4,2025-05-18,1,2026-01-01,5,2024-06-23,1,2026-01-12,2,2026-01-15,2025-06-25
Michelle Ray,int:Michelle Ray,int:Associate .NET Engineer,michelle.ray@example.org,michelleray,ext_b902153f,b902153f,cv_b902153f,001-724-360-9539x621,388.788.0670x65405,1977,Software Engineering,Ireland,int:British,2025-08-01,2025-07-23,2025-07-14,Associate .NET Engineer in software engineering delivering data platforms & analytics.,2024-05-02,5,1,2024-05-10,0,2024-04-19,2,2025-11-27,0,10,2025-02-12,0,5,2026-03-20,2,2024-07-11,4,2025-09-21,3,2026-03-27,0,2025-01-23,3,2024-04-14,2,2024-10-03,4,2025-04-15,2,2025-07-27,2,2024-05-26,2024-10-05
Janet Williams,int:Janet Williams,int:Senior Frontend Engineer,janet.williams@example.com,janetwilliams,ext_0fa87483,0fa87483,cv_0fa87483,419.952.0585,001-772-621-7043x030,1991,Software Engineering,United Kingdom,int:Swedish,2025-08-30,2025-07-24,2025-09-21,,2025-10-11,6,4,2025-03-17,0,2025-04-22,5,2024-05-08,3,18,2025-07-22,1,12,2024-09-28,4,2025-12-04,1,2025-06-10,1,2025-06-01,0,2024-11-25,2,2025-06-07,0,2025-07-06,4,2025-08-28,1,2026-04-01,1,2024-06-26,2025-12-09
Jeremy Roberts,int:Jeremy Roberts,int:Principal Databricks Engineer,jeremy.roberts@mail.test,jeremyroberts,ext_cbf996ce,cbf996ce,cv_cbf996ce,868.874.0345x05415,001-876-452-7758x4161,1975,Data Engineering,United Kingdom,int:Swedish,2025-11-02,2025-10-04,2026-02-08,Principal Databricks Engineer in data engineering delivering data platforms & analytics.,2026-03-29,4,3,2025-04-10,1,2025-02-16,3,2025-04-05,0,13,2026-03-25,3,20,2025-12-21,4,2025-01-17,6,2024-11-16,3,2025-09-13,0,2026-01-07,2,2024-10-09,0,2024-10-24,4,2025-10-28,1,2025-02-07,3,2025-11-28,2025-09-25
Christopher Hall,int:Christopher Hall,int:Senior Analytics Engineer,christopher.hall@example.com,christopherhall,ext_aa4a92e3,aa4a92e3,cv_aa4a92e3,+1-845-411-5447,001-775-470-5964x016,1973,Data Engineering,Australia,int:Swedish,2025-08-22,2025-05-02,2025-08-22,Senior Analytics Engineer in data engineering delivering data platforms & analytics.,2025-10-20,3,0,2025-11-11,1,2025-01-14,3,2026-03-29,1,11,2025-04-01,3,18,2024-04-07,3,2025-09-12,2,2025-12-11,2,2025-09-21,1,2025-06-16,3,2026-02-21,0,2025-11-18,4,2025-02-23,1,2025-01-27,1,2025-04-29,2025-04-06
Craig Ramirez,int:Craig Ramirez,int:Senior Data Platform Engineer,craig.ramirez@mail.test,craigramirez,ext_542f72ed,542f72ed,cv_542f72ed,7298702135,001-409-727-5571,1975,Data Engineering,Spain,int:Swedish,2026-01-26,2026-02-06,2026-02-07,Senior Data Platform Engineer in data engineering delivering data platforms & analytics.,2026-03-13,0,1,2025-11-25,1,2025-04-16,4,2024-11-07,2,17,2026-03-21,0,1,2024-05-03,3,2025-08-04,3,2026-02-09,3,2024-05-09,2,2025-04-18,1,2025-01-19,1,2024-07-31,3,2026-03-26,2,2025-01-14,4,2024-11-28,2025-10-26
Cynthia Diaz,int:Cynthia Diaz,int:Lead Enterprise Architect,cynthia.diaz@mail.test,cynthiadiaz,ext_6597a97f,6597a97f,cv_6597a97f,(654)931-0278x6814,494.973.1217,1998,Architecture,United Kingdom,int:British,2025-04-27,2025-08-27,2025-12-23,Lead Enterprise Architect in architecture delivering data platforms & analytics.,2024-12-04,2,2,2024-04-10,3,2024-04-16,1,2024-11-05,3,19,2024-07-17,1,3,2025-09-30,4,2025-09-22,1,2024-08-06,1,2024-06-28,0,2024-06-23,2,2025-11-02,0,2025-08-12,2,2025-12-01,2,2025-11-19,2,2025-02-17,2025-12-19
Mitchell Clark,int:Mitchell Clark,int:Senior Data Architect,mitchell.clark@example.org,mitchellclark,ext_fcc9a653,fcc9a653,cv_fcc9a653,455-718-8442,431.332.3705x89578,1995,Architecture,Ireland,int:Danish,2025-12-11,2025-10-13,2025-08-28,,2024-11-29,0,2,2026-01-31,1,2025-01-21,2,2024-06-13,3,18,2026-02-10,0,5,2025-05-27,4,2025-12-12,1,2025-07-02,0,2025-03-27,0,2025-06-20,3,2025-04-09,1,2024-04-05,4,2025-01-30,1,2025-07-25,2,2025-05-11,2024-10-28
Joseph Zuniga,int:Joseph Zuniga,int:Senior AWS Engineer,joseph.zuniga@example.com,josephzuniga,ext_7e9ccceb,7e9ccceb,cv_7e9ccceb,446-778-6691,+1-217-378-5289x2268,1980,Cloud Engineering,India,int:Polish,2025-11-25,2025-07-26,2025-09-29,,2025-04-26,0,1,2025-05-27,0,2025-12-25,1,2024-05-18,0,12,2026-03-21,5,21,2024-05-04,2,2024-09-15,1,2025-11-21,2,2025-04-29,1,2025-03-30,2,2025-03-29,2,2024-08-08,0,2024-10-09,1,2024-07-23,2,2025-03-19,2025-12-10
Deborah Lynch,int:Deborah Lynch,int:Senior Full-stack Engineer,deborah.lynch@mail.test,deborahlynch,ext_ee0a0445,ee0a0445,cv_ee0a0445,624.422.5358x41438,+1-749-281-8299x2299,1970,Software Engineering,Spain,int:Swedish,2026-02-12,2026-02-24,2025-06-28,,2024-07-09,1,2,2025-04-17,1,2024-12-04,5,2025-09-09,3,20,2024-10-04,0,25,2025-10-28,0,2026-02-18,1,2025-11-24,0,2025-09-19,0,2025-01-30,4,2024-09-17,2,2024-04-05,1,2025-07-19,0,2024-09-07,4,2025-04-13,2025-05-30
George Daniel,int:George Daniel,int:Principal Backend Engineer,george.daniel@example.org,georgedaniel,ext_5daff298,5daff298,cv_5daff298,2109943969,+1-884-947-3647x1027,1983,Software Engineering,Spain,int:Norwegian,2026-03-11,2025-06-18,2026-03-03,Principal Backend Engineer in software engineering delivering data platforms & analytics.,2024-04-23,2,3,2025-09-21,0,2024-11-13,4,2024-05-02,0,17,2024-10-05,3,3,2024-10-25,3,2026-01-17,4,2025-10-16,0,2025-01-10,0,2024-10-29,4,2025-03-06,1,2024-09-05,5,2025-02-28,0,2025-02-17,3,2024-07-21,2025-02-20
Frank Gray,int:Frank Gray,int:Director of DDC Engineering,frank.gray@example.com,frankgray,ext_c1b425ec,c1b425ec,cv_c1b425ec,335.792.5556x258,671.847.3210,1990,Director of DDC Engineering,Ireland,int:Swedish,2025-10-30,2025-12-12,2025-11-03,,2024-04-08,2,1,2025-07-03,1,2025-12-03,1,2025-10-10,1,18,2025-08-17,4,18,2026-02-16,1,2024-10-04,4,2025-08-03,0,2025-06-09,2,2026-02-22,3,2024-06-18,2,2025-11-03,5,2025-06-23,2,2025-11-18,3,2025-07-01,2024-09-15
Veronica Bowman,int:Veronica Bowman,int:Senior Solution Architect,veronica.bowman@example.org,veronicabowman,ext_0e7ef243,0e7ef243,cv_0e7ef243,+1-963-625-9532x787,901.968.7339x5004,1992,Architecture,United Kingdom,int:Polish,2025-09-06,2025-05-25,2025-11-04,Senior Solution Architect in architecture delivering data platforms & analytics.,2025-05-06,6,0,2026-02-04,1,2026-03-24,2,2025-04-04,0,12,2025-08-22,0,11,2025-06-21,2,2025-10-05,5,2025-07-15,2,2026-03-18,1,2024-09-30,0,2024-05-30,2,2024-08-14,4,2025-12-16,1,2024-04-29,2,2025-03-08,2024-07-02
Angela Cohen,int:Angela Cohen,int:Principal Python Developer,angela.cohen@example.org,angelacohen,ext_2f05b093,2f05b093,cv_2f05b093,580-716-2456x5060,+1-341-468-7849,2000,Data Engineering,Ireland,int:Danish,2025-09-27,2026-01-18,2025-08-01,Principal Python Developer in data engineering delivering data platforms & analytics.,2025-12-29,5,2,2024-11-12,1,2024-12-19,4,2025-09-26,1,19,2025-10-05,2,12,2025-09-22,2,2024-08-28,1,2024-11-17,3,2025-10-01,0,2024-06-09,3,2025-06-19,0,2026-03-13,5,2025-05-21,2,2025-10-19,4,2025-10-04,2025-09-30
Megan Parsons,int:Megan Parsons,int:Associate DevOps Engineer,megan.parsons@mail.test,meganparsons,ext_afc823c9,afc823c9,cv_afc823c9,865-258-5239,4027578729,1974,Cloud Engineering,Spain,int:Danish,2026-03-28,2025-05-30,2026-02-11,Associate DevOps Engineer in cloud engineering delivering data platforms & analytics.,2025-03-13,6,3,2025-03-06,1,2025-12-12,1,2026-03-21,1,15,2024-06-13,0,25,2026-02-18,3,2025-11-19,1,2025-07-23,3,2026-01-08,2,2025-07-03,3,2025-11-08,0,2024-06-30,5,2024-07-28,2,2026-03-21,2,2026-03-25,2026-03-13
Jeremy Johnson,int:Jeremy Johnson,int:Consultant Data Platform Engineer,jeremy.johnson@example.com,jeremyjohnson,ext_98140f8b,98140f8b,cv_98140f8b,+1-652-969-4958x887,9556169409,1992,Data Engineering,United Kingdom,int:British,2026-03-06,2025-06-29,2025-04-14,Consultant Data Platform Engineer in data engineering delivering data platforms & analytics.,2025-07-04,6,0,2024-06-30,2,2025-11-28,1,2026-03-13,1,19,2026-02-17,1,22,2025-12-19,3,2024-09-23,6,2025-06-04,3,2025-12-19,0,2024-10-27,2,2025-02-02,1,2025-11-09,3,2026-04-02,0,2025-08-17,2,2026-03-10,2024-09-24
Leslie Adams,int:Leslie Adams,int:Consultant Backend Engineer,leslie.adams@mail.test,leslieadams,ext_6a0a42c7,6a0a42c7,cv_6a0a42c7,+1-299-330-9728x9623,907.256.2636,1980,Software Engineering,Ireland,int:Polish,2026-02-10,2025-11-10,2025-10-03,Consultant Backend Engineer in software engineering delivering data platforms & analytics.,2026-01-15,1,3,2024-07-12,3,2025-12-03,2,2025-03-30,2,18,2026-01-07,5,2,2026-02-18,2,2024-07-23,1,2025-10-31,3,2025-10-03,2,2025-01-20,0,2024-10-07,1,2025-04-26,1,2024-07-28,0,2025-09-30,2,2024-05-08,2025-04-27
Jason Hahn,int:Jason Hahn,int:Principal Full-stack Engineer,jason.hahn@mail.test,jasonhahn,ext_a08226e9,a08226e9,cv_a08226e9,001-728-738-5786x527,+1-749-973-3484x34437,1976,Software Engineering,India,int:Polish,2026-01-17,2025-05-03,2026-01-18,,2025-05-11,3,1,2025-11-03,2,2025-01-01,5,2024-11-30,2,12,2026-01-25,2,13,2025-12-09,0,2024-08-20,2,2025-01-21,3,2025-06-22,2,2025-11-06,2,2026-01-01,1,2025-05-08,5,2025-11-24,0,2025-09-29,1,2025-03-05,2025-02-28
Nancy Edwards,int:Nancy Edwards,int:Consultant Analytics Engineer,nancy.edwards@mail.test,nancyedwards,ext_e3d84519,e3d84519,cv_e3d84519,(284)641-9866x524,001-415-374-7338x484,1994,Data Engineering,United Kingdom,int:Danish,2025-07-02,2025-07-04,2025-07-25,,2024-10-05,2,2,2024-10-01,3,2025-03-06,4,2026-01-08,3,19,2024-08-17,5,16,2025-01-27,3,2024-10-11,4,2024-08-20,2,2024-04-23,0,2025-08-22,1,2024-04-14,1,2026-01-04,3,2025-08-06,2,2025-03-29,4,2026-04-01,2025-08-11
Diana Foster,int:Diana Foster,int:Consultant Kubernetes Engineer,diana.foster@example.org,dianafoster,ext_75b430c5,75b430c5,cv_75b430c5,+1-993-330-8330x165,+1-520-282-6773x45401,1983,Cloud Engineering,Spain,int:British,2025-11-30,2025-12-17,2025-12-10,Consultant Kubernetes Engineer in cloud engineering delivering data platforms & analytics.,2026-02-05,1,0,2025-11-13,2,2024-04-21,5,2024-04-13,3,13,2025-11-08,1,1,2025-03-13,0,2026-03-08,0,2024-04-21,2,2025-01-24,1,2025-03-19,1,2026-02-07,1,2024-04-15,3,2025-12-16,0,2024-05-25,4,2024-08-16,2025-12-04
Robin Ellis,int:Robin Ellis,int:Senior Full-stack Engineer,robin.ellis@example.org,robinellis,ext_2b935dac,2b935dac,cv_2b935dac,(262)606-7240,001-491-954-7887,1971,Software Engineering,USA,int:Norwegian,2025-08-06,2026-01-22,2025-07-07,Senior Full-stack Engineer in software engineering delivering data platforms & analytics.,2024-04-18,0,3,2025-06-01,1,2025-02-06,1,2025-04-23,1,18,2025-01-04,2,11,2024-06-12,1,2024-04-22,0,2026-03-21,1,2025-06-14,0,2025-12-11,0,2025-10-26,2,2026-02-01,3,2024-06-15,0,2026-03-02,2,2024-07-24,2024-12-08
Joseph Wright,int:Joseph Wright,int:Head of Quality Engineering,joseph.wright@example.org,josephwright,ext_fa8f28ed,fa8f28ed,cv_fa8f28ed,531-452-7420x549,+1-566-285-1612x275,1980,Head of Quality Engineering,Ireland,int:British,2025-08-30,2026-01-13,2025-11-15,Head of Quality Engineering in software engineering delivering data platforms & analytics.,2025-12-30,6,1,2024-10-16,1,2025-11-26,1,2025-08-30,3,13,2025-02-17,6,10,2024-07-09,3,2026-02-05,5,2025-08-22,3,2025-02-26,2,2025-09-27,2,2024-09-08,2,2024-07-23,4,2026-01-14,1,2024-04-24,2,2024-12-10,2025-03-13
Anna Baker,int:Anna Baker,int:Principal Python Developer,anna.baker@mail.test,annabaker,ext_09e52329,09e52329,cv_09e52329,563-274-5499x045,+1-417-942-6841x45933,1993,Data Engineering,Slovenia,int:Norwegian,2025-05-30,2025-10-14,2026-03-20,Principal Python Developer in data engineering delivering data platforms & analytics.,2025-08-01,3,2,2025-06-19,3,2024-09-26,4,2025-12-15,1,10,2026-01-27,0,10,2025-08-30,2,2024-07-31,5,2026-03-23,3,2025-05-22,0,2025-09-23,2,2024-09-16,0,2025-09-09,0,2024-06-19,0,2026-03-01,3,2025-07-31,2025-10-19
Brenda Hurst,int:Brenda Hurst,int:Senior MLOps Engineer,brenda.hurst@example.com,brendahurst,ext_e4415518,e4415518,cv_e4415518,(579)356-8783,478.751.9108x83982,1985,Data Engineering,United Kingdom,int:Polish,2025-10-24,2025-09-15,2025-10-03,Senior MLOps Engineer in data engineering delivering data platforms & analytics.,2025-11-22,2,0,2024-04-14,0,2025-12-25,5,2025-04-29,3,13,2025-02-10,0,2,2024-11-04,0,2025-12-21,2,2024-11-05,0,2025-11-01,1,2026-03-10,0,2024-08-10,1,2025-03-08,2,2024-12-01,1,2024-08-11,2,2026-02-24,2024-05-13
Reginald Robinson,int:Reginald Robinson,int:Associate Data Engineer,reginald.robinson@mail.test,reginaldrobinson,ext_29a45840,29a45840,cv_29a45840,971.239.7187x07286,+1-374-206-4039,1978,Data Engineering,Australia,int:Swedish,2025-08-17,2026-01-26,2025-10-12,,2025-06-10,2,1,2025-03-31,1,2025-01-17,4,2026-02-22,0,17,2024-04-04,5,21,2024-05-04,0,2025-03-03,5,2025-08-02,1,2025-09-02,0,2024-07-17,1,2024-07-21,2,2026-01-17,1,2025-10-29,2,2024-08-31,3,2024-06-30,2024-07-04
